Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
1;normaalne;normaalne;normaalne;;0;31.05.2007;;;;1;
2;matseratsioon;matseratsioon;matseratsioon;;0;31.05.2007;;;;1;
21;üldine matseratsioon;üldine matseratsioon;üldine matseratsioon;2;1;31.05.2007;;;;1;
22;jäsemetel;jäsemetel;jäsemetel;2;1;31.05.2007;;;;1;
3;pastoosse tursega;pastoosse tursega;pastoosse tursega;;0;31.05.2007;;;;1;
31;üldise tursega;üldise tursega;üldise tursega;3;1;31.05.2007;;;;1;
32;lokaalse tursega;lokaalse tursega;lokaalse tursega;3;1;31.05.2007;;;;1;
4;ketendav;ketendav;ketendav;;0;31.05.2007;;;;1;
5;lööbeline;lööbeline;lööbeline;;0;31.05.2007;;;;1;
6;verevalumitega;verevalumitega;verevalumitega;;0;31.05.2007;;;;1;
7;hemangioomidega;hemangioomidega;hemangioomidega;;0;31.05.2007;;;;1;
8;pigmendilaikudega;pigmendilaikudega;pigmendilaikudega;;0;31.05.2007;;;;1;
9;muu (kommentaar);muu (kommentaar);muu (kommentaar);;0;31.05.2007;;;;1;
