Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
A;normaalne;normaalne;normaalne;;0;1.01.2012;;;EKL,TA;1;
B;kahvatu;kahvatu;kahvatu;;0;1.01.2012;;;EKL,TA;1;
C;punetav;punetav;punetav;;0;1.01.2012;;;EKL,TA;1;
D;marmoraaž;marmoraaž;marmoraaž;;0;1.01.2012;;;EKL,TA;1;
E;tsüanootiline;tsüanootiline;tsüanootiline;;0;1.01.2012;;;EKL,TA;1;
F;ikteeriline;ikteeriline;ikteeriline, nahk kollane;;0;1.01.2012;;;EKL,TA;1;
G;lööve (kirjeldada);lööve (kirjeldada);lööve (kirjeldada);;0;1.01.2012;;;EKL,TA;1;
H;muu (täpsustus);muu (täpsustus);muu (täpsustus);;0;1.01.2012;;;EKL,TA;1;
