Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
1;krudin;krudin;krudin;;;1.01.2013;;;Eesti Ortodontia selts Eesti Hambaarstide Liit;1;
2;naksumine;naksumine;naksumine;;;1.01.2013;;;Eesti Ortodontia selts Eesti Hambaarstide Liit;1;
3;plõksumine;plõksumine;plõksumine;;;1.01.2013;;;Eesti Ortodontia selts Eesti Hambaarstide Liit;1;
4;ei ole;ei ole;ei ole;;;1.01.2013;;;Eesti Ortodontia selts Eesti Hambaarstide Liit;1;
