Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
1;töötav;töötav;töötav;;;1.01.2008;;;Sotsiaalministeerium, Terviseamet;1;palgatöötaja, sh suulise või kirjaliku töölepinguga, tähtajalise või tähtajatu lepinguga, ka juhutöö tegija, talupidaja abitööjõuga või ilma, vabakutseline, palgata töötaja pere-ettevõttes
2;töötu või tööd otsiv (lühiajaline);töötu või tööd otsiv (lühiajaline);töötu või tööd otsiv (lühiajaline);;;1.01.2008;;;Sotsiaalministeerium, Terviseamet;1;töötu on isik, kes otsib aktiivselt tööd ning on valmis kohe (2 nädala jooksul) tööle asuma.
3;ajateenija;ajateenija;ajateenija;;;1.01.2008;;;Sotsiaalministeerium, Terviseamet;1;ajateenija on kohustuslikus ajateenistuses viibiv isik
4;kinnipeetav;kinnipeetav;kinnipeetav;;;1.01.2008;;;Sotsiaalministeerium, Terviseamet;1;kinnipeetav on kinnipidamisasutuses viibiv isik
5;õpilane, üliõpilane;õpilane, üliõpilane;õpilane, üliõpilane;;;1.01.2008;;;Sotsiaalministeerium, Terviseamet;1;õpilane ja üliõpilane
6;töövõimetuspensionär;töövõimetuspensionär;töövõimetuspensionär;;;1.01.2008;;;Sotsiaalministeerium, Terviseamet;1;töövõimetuspensionär on töövõimetuspensioni saav isik
7;vanaduspensionär;vanaduspensionär;vanaduspensionär;;;1.01.2008;;;Sotsiaalministeerium, Terviseamet;1;vanaduspensionär on vanaduspensioni saav isik
8;muu pensionär;muu pensionär;muu pensionär;;;1.01.2008;;;Sotsiaalministeerium, Terviseamet;1;siia kuulub näiteks toitjakaotuspensioni saav isik
9;lapsehoolduspuhkusel ;lapsehoolduspuhkusel ;lapsehoolduspuhkusel ;;;1.01.2008;;;Sotsiaalministeerium, Terviseamet;1;lapsehoolduspuhkusel olev isik, ei pruugi olla lapse vanem
10;kodune;kodune;kodune;;;1.01.2008;;;Sotsiaalministeerium, Terviseamet;1;kodune on eeskätt oma majapidamisega tegelev isik (koduperenaised), samuti pikaajaline töötu, kes enam aktiivselt tööd ei otsi.
13;koolieelne organiseeritud;koolieelne organiseeritud;koolieelne organiseeritud;;;1.04.2013;;;Sotsiaalministeerium, Terviseamet;1;lastesõimes või lastaias käiv laps
14;koolieelne kodune;koolieelne kodune;koolieelne kodune;;;1.04.2013;;;Sotsiaalministeerium, Terviseamet;1;laps, kes ei käi lastesõimes ega lasteaias
99;teadmata;teadmata;teadmata;;;1.01.2008;;21.01.2015;Sotsiaalministeerium, Terviseamet;1;
