Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
G01;imeb jõudsalt, neelamine vaba;imeb jõudsalt, neelamine vaba;imeb jõudsalt, neelamine vaba;;;1.01.2008;;;Sotsiaalministeerium;1;
G02;imeb ahmides, väsib kiiresti, läkastab palju;imeb ahmides, väsib kiiresti, läkastab palju;imeb ahmides, väsib kiiresti, läkastab palju;;;1.01.2008;;;Sotsiaalministeerium;1;
G03;ei ime;ei ime;ei ime;;;1.01.2008;;;Sotsiaalministeerium;1;
G04;suudab lusikalt toitu võtta, neelamine vaba;suudab lusikalt toitu võtta, neelamine vaba;suudab lusikalt toitu võtta, neelamine vaba;;;1.01.2008;;;Sotsiaalministeerium;1;
G05;sööb lutipudelist;sööb lutipudelist;sööb lutipudelist;;;1.01.2008;;;Sotsiaalministeerium;1;
G06;imeb loitult, kipub läkastama;imeb loitult, kipub läkastama;imeb loitult, kipub läkastama;;;1.01.2008;;;Sotsiaalministeerium;1;
G07;on tekkinud närimisliigutused, suudab neelata tahket toitu;on tekkinud närimisliigutused, suudab neelata tahket toitu;on tekkinud närimisliigutused, suudab neelata tahket toitu;;;1.01.2008;;;Sotsiaalministeerium;1;
G08;sööb lusikast, kuid närimisliigutusi veel ei ole;sööb lusikast, kuid närimisliigutusi veel ei ole;sööb lusikast, kuid närimisliigutusi veel ei ole;;;1.01.2008;;;Sotsiaalministeerium;1;
G09;sööb tahket toitu, joob kruusist;sööb tahket toitu, joob kruusist;sööb tahket toitu, joob kruusist;;;1.01.2008;;;Sotsiaalministeerium;1;
G10;sööb lusikast peenestatud toitu;sööb lusikast peenestatud toitu;sööb lusikast peenestatud toitu;;;1.01.2008;;;Sotsiaalministeerium;1;
G11;sööb ise lusikast;sööb ise lusikast;sööb ise lusikast;;;1.01.2008;;;Sotsiaalministeerium;1;
G12;sööb lusikast, kuid määrib ennast;sööb lusikast, kuid määrib ennast;sööb lusikast, kuid määrib ennast;;;1.01.2008;;;Sotsiaalministeerium;1;
G13;ei söö lusikast;ei söö lusikast;ei söö lusikast;;;1.01.2008;;;Sotsiaalministeerium;1;
G14;sööb kahvli ja noaga;sööb kahvli ja noaga;sööb kahvli ja noaga;;;1.01.2008;;;Sotsiaalministeerium;1;
G15;sööb lusikaga;sööb lusikaga;sööb lusikaga;;;1.01.2008;;;Sotsiaalministeerium;1;
G16;ei söö iseseisvalt;ei söö iseseisvalt;ei söö iseseisvalt;;;1.01.2008;;;Sotsiaalministeerium;1;
