Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
A;;suurepärane;;;0;1.07.2016;;;Eesti Gastroenteroloogide Selts, Eesti Gastrointestinaalse Endoskoopia Ühing;1;
B;;hea;;;0;1.07.2016;;;Eesti Gastroenteroloogide Selts, Eesti Gastrointestinaalse Endoskoopia Ühing;1;
C;;rahuldav;;;0;1.07.2016;;;Eesti Gastroenteroloogide Selts, Eesti Gastrointestinaalse Endoskoopia Ühing;1;
D;;halb;;;0;1.07.2016;;;Eesti Gastroenteroloogide Selts, Eesti Gastrointestinaalse Endoskoopia Ühing;1;
