Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
01;0;0 staadium;;;0;01.07.2016;;;Eesti E-tervise Sihtasutus;1;
02;0a;0a staadium;;01;1;01.07.2016;;;Eesti E-tervise Sihtasutus;1;
03;0is;0is staadium;;01;1;01.07.2016;;;Eesti E-tervise Sihtasutus;1;
04;I;I staadium;;;0;01.07.2016;;;Eesti E-tervise Sihtasutus;1;
05;IA;IA staadium;;04;1;01.07.2016;;;Eesti E-tervise Sihtasutus;1;
06;IA1;IA1 staadium;;05;2;01.07.2016;;;Eesti E-tervise Sihtasutus;1;
07;IA2;IA2 staadium;;05;2;01.07.2016;;;Eesti E-tervise Sihtasutus;1;
33;IA3;IA3 staadium;;05;2;18.07.2017;;;Tervise ja Heaolu Infosüsteemide Keskus;1;
08;IB;IB staadium;;04;1;01.07.2016;;;Eesti E-tervise Sihtasutus;1;
09;IB1;IB1 staadium;;08;2;01.07.2016;;;Eesti E-tervise Sihtasutus;1;
10;IB2;IB2 staadium;;08;2;01.07.2016;;;Eesti E-tervise Sihtasutus;1;
11;IC;IC staadium;;04;1;01.07.2016;;;Eesti E-tervise Sihtasutus;1;
12;IC1;IC1 staadium;;11;2;01.07.2016;18.07.2017;;Tervise ja Heaolu Infosüsteemide Keskus;0;
13;IC2;IC2 staadium;;11;2;01.07.2016;18.07.2017;;Tervise ja Heaolu Infosüsteemide Keskus;0;
14;IC3;IC3 staadium;;11;2;01.07.2016;18.07.2017;;Tervise ja Heaolu Infosüsteemide Keskus;0;
34;IS;IS staadium;;04;1;18.07.2017;;;Tervise ja Heaolu Infosüsteemide Keskus;1;
15;II;II staadium;;;0;01.07.2016;;;Eesti E-tervise Sihtasutus;1;
16;IIA;IIA staadium;;15;1;01.07.2016;;;Eesti E-tervise Sihtasutus;1;
17;IIA1;IIA1 staadium;;16;2;01.07.2016;;;Eesti E-tervise Sihtasutus;1;
18;IIA2;IIA2 staadium;;16;2;01.07.2016;;;Eesti E-tervise Sihtasutus;1;
19;IIB;IIB staadium;;15;1;01.07.2016;;;Eesti E-tervise Sihtasutus;1;
20;IIC;IIC staadium;;15;1;01.07.2016;;;Eesti E-tervise Sihtasutus;1;
21;III;III staadium;;;0;01.07.2016;;;Eesti E-tervise Sihtasutus;1;
22;IIIA;IIIA staadium;;21;1;01.07.2016;;;Eesti E-tervise Sihtasutus;1;
23;IIIA1;IIIA1 staadium;;22;2;01.07.2016;;;Eesti E-tervise Sihtasutus;1;
24;IIIA2;IIIA2 staadium;;22;2;01.07.2016;;;Eesti E-tervise Sihtasutus;1;
25;IIIB;IIIB staadium;;21;1;01.07.2016;;;Eesti E-tervise Sihtasutus;1;
26;IIIC;IIIC staadium;;21;1;01.07.2016;;;Eesti E-tervise Sihtasutus;1;
27;IIIC1;IIIC1 staadium;;26;2;01.07.2016;;;Eesti E-tervise Sihtasutus;1;
28;IIIC2;IIIC2 staadium;;26;2;01.07.2016;;;Eesti E-tervise Sihtasutus;1;
35;IIID;IIID staadium;;21;1;18.07.2017;;;Tervise ja Heaolu Infosüsteemide Keskus;1;
29;IV;IV staadium;;;0;01.07.2016;;;Eesti E-tervise Sihtasutus;1;
30;IVA;IVA staadium;;29;1;01.07.2016;;;Eesti E-tervise Sihtasutus;1;
31;IVB;IVB staadium;;29;1;01.07.2016;;;Eesti E-tervise Sihtasutus;1;
32;IVC;IVC staadium;;29;1;01.07.2016;;;Eesti E-tervise Sihtasutus;1;
