Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus
01;;Materjali liik;;;0;16.05.2019;;;1;
02;;Silikoon;;01;1;16.05.2019;;;1;
03;;PVC;;01;1;16.05.2019;;;1;
04;;Lateks;;01;1;16.05.2019;;;1;
05;;Kattematerjali liik;;;0;16.05.2019;;;1;
06;;Hüdrofiilse kattega;;05;1;16.05.2019;;;1;
07;;Silikoonkattega;;05;1;16.05.2019;;;1;
08;;Elastomeerkattega;;05;1;16.05.2019;;;1;
09;;Silikoonelastomeerkattega;;05;1;16.05.2019;;;1;
