Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus
01;;Kinnas;;;0;16.05.2019;;;1;
02;;Kätt fikseeriv tugi;;;0;16.05.2019;;;1;
03;;Võre;;;0;16.05.2019;;;1;
04;;Küljetugi;;;0;16.05.2019;;;1;
05;;Pehmendus;;;0;16.05.2019;;;1;
06;;Vöörihm;;;0;16.05.2019;;;1;
07;;Geriaatriline tool;;;0;16.05.2019;;;1;
08;;Muu, täpsustage;;;0;16.05.2019;;;1;
