Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus;;;
103427005;Campylobacter upsaliensis;Campylobacter upsaliensis;Campylobacter upsaliensis (organism);;;01.01.2013;;;TA;1;;;;
62944002;C-hepatiidi viirus;C-hepatiidi viirus;Hepatitis C virus (organism);;;01.04.2013;;;TA;1;;;;
2423009;Chikungunya viirus;Chikungunya viirus;Chikungunya virus (organism);;;01.01.2013;;;TA;1;;;;
63938009;Chlamydia trachomatis;Chlamydia trachomatis;Chlamydia trachomatis (organism);;;01.01.2013;;;TA;1;;;;
103514009;Chlamydophila pneumoniae;Chlamydophila pneumoniae;Chlamydophila pneumoniae (organism);;;01.01.2013;;;TA;1;;;;
14590003;Chlamydophila psittaci;Chlamydophila psittaci;Chlamydophila psittaci (organism);;;01.01.2013;;22.12.2020;TA;1;Versioonis 2 muudetud nimetust: Chlamydia psittaci -> Chlamydophila psitacci;;;
55744003;Citrobacter amalonaticus;Citrobacter amalonaticus;Citrobacter amalonaticus (organism);;;01.01.2013;;;TA;1;;;;
114262000;Citrobacter braakii;Citrobacter braakii;Citrobacter braakii (organism);;;01.01.2013;;;TA;1;;;;
114263005;Citrobacter farmeri;Citrobacter farmeri;Citrobacter farmeri (organism);;;01.01.2013;;;TA;1;;;;
6265002;Citrobacter freundii;Citrobacter freundii;Citrobacter freundii (organism);;;01.01.2013;;;TA;1;;;;
416990006;Citrobacter gillenii;Citrobacter gillenii;Citrobacter gillenii (organism);;;01.01.2013;;;TA;1;;;;
25802000;Citrobacter intermedius;Citrobacter intermedius;Citrobacter intermedius (organism);;;01.01.2013;;;TA;1;;;;
114264004;Citrobacter koseri;Citrobacter koseri;Citrobacter koseri (organism);;;01.01.2013;;;TA;1;;;;
417581000;Citrobacter murliniae;Citrobacter murliniae;Citrobacter murliniae (organism);;;01.01.2013;;;TA;1;;;;
114265003;Citrobacter sedlakii;Citrobacter sedlakii;Citrobacter sedlakii (organism);;;01.01.2013;;;TA;1;;;;
75972000;Citrobacter sp;Citrobacter sp;Genus Citrobacter (organism);;;22.12.2020;;;TA;1;Asendab kehtetuks tunnistatud väärtust koodiga 131256000;;;
131256000;Citrobacter sp.;Citrobacter sp.;Citrobacter sp.;;;01.01.2013;22.12.2020;;TA;0;Versioonis 2 tunnistatud kehtetuks, seda asendab väärtus koodiga 75972000;;;
114442006;Citrobacter werkmanii;Citrobacter werkmanii;Citrobacter werkmanii (organism);;;01.01.2013;;;TA;1;;;;
114443001;Citrobacter youngae;Citrobacter youngae;Citrobacter youngae (organism);;;01.01.2013;;;TA;1;;;;
5933001;Clostridioides difficile;Clostridioides difficile;Clostridium difficile (organism);;;01.01.2013;;;TA;1;;;;
13080008;Clostridium botulinum;Clostridium botulinum;Clostridium botulinum (organism);;;01.01.2013;;;TA;1;;;;
8331005;Clostridium perfringens;Clostridium perfringens;Clostridium perfringens (organism);;;01.01.2013;;;TA;1;;;;
8191000;Clostridium sp;Clostridium sp;Genus Clostridium (organism);;;22.12.2020;;;TA;1;Versioonis 2 lisatud, asendab kehtetuks tunnistatud väärtust koodiga 116460009;;;
116460009;Clostridium spp.;Clostridium spp.;Clostridium spp.;;;01.01.2013;22.12.2020;;TA;0;Versioonis 2 tunnistatud kehtetuks, seda asendab väärtus koodiga 8191000;;;
30917009;Clostridium tetani;Clostridium tetani;Clostridium tetani (organism);;;01.01.2013;;;TA;1;;;;
5851001;Corynebacterium diphtheriae;Corynebacterium diphtheriae;Corynebacterium diphtheriae (organism);;;01.01.2013;;;TA;1;;;;
83675005;Corynebacterium diphtheriae tüüp gravis;Corynebacterium diphtheriae tüüp gravis;Corynebacterium diphtheriae type gravis (organism);;;01.01.2013;;22.12.2020;TA;1;Versioonis 2 nimetus tõlgitud eesti keelde;;;
70876001;Corynebacterium diphtheriae tüüp intermedius;Corynebacterium diphtheriae tüüp intermedius;Corynebacterium diphtheriae type intermedius (organism);;;01.01.2013;;22.12.2020;TA;1;Versioonis 2 nimetus tõlgitud eesti keelde;;;
13755001;Corynebacterium diphtheriae tüüp mitis;Corynebacterium diphtheriae tüüp mitis;Corynebacterium diphtheriae type mitis (organism);;;01.01.2013;;22.12.2020;TA;1;Versioonis 2 nimetus tõlgitud eesti keelde;;;
243255007;Corynebacterium diphtheriae var belfanti;Corynebacterium diphtheriae var belfanti;Corynebacterium diphtheriae var belfanti (organism);;;01.01.2013;;;TA;1;;;;
55084001;Corynebacterium pseudotuberculosis;Corynebacterium pseudotuberculosis;Corynebacterium pseudotuberculosis (organism);;;17.02.2021;;;TA;1;Versioonis 3 lisatud;;;
77086004;Corynebacterium sp;Corynebacterium sp;Genus Corynebacterium (organism);;;22.12.2020;;;TA;1;Versioonis 2 lisatud, asendab kehtetuks tunnistatud väärtust koodiga 116463006;;;
116463006;Corynebacterium spp.;Corynebacterium spp.;Corynebacterium spp.;;;01.01.2013;22.12.2020;;TA;0;Versioonis 2 tunnistatud kehtetuks, seda asendab väärtus koodiga 77086004;;;
103428000;Corynebacterium ulcerans;Corynebacterium ulcerans;Corynebacterium ulcerans (organism);;;17.02.2021;;;TA;1;Versioonis 3 lisatud;;;
86145008;Cosenzaea myxofaciens;Cosenzaea myxofaciens;Proteus myxofaciens (organism);;;01.01.2013;;;TA;1;;;;
