Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus
TAKEN;;Broneerimine ebaõnnestus, vastuvõtuaeg on kellegi teise poolt juba broneeritud;;;0;24.01.2019;;;1;
UNKNOWN;;Broneerimine ebaõnnestus täpsustamata põhjustel;;;0;24.01.2019;;;1;
AE;;Sõnumi töötlemisel tekkis rakenduses viga ;;;0;24.01.2019;;;1;
