Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
A;kõnnib ise;kõnnib ise;kõnnib ise;;0;1.01.2012;;;EKL,TA;1;
A1;abistades;abistades;abistades;A;1;1.01.2012;;;EKL,TA;1;
B;lamades;lamades;lamades;;0;1.01.2012;;;EKL,TA;1;
B1;kandetekk;kandetekk;kandetekk;B;1;1.01.2012;;;EKL,TA;1;
B2;autoraam;autoraam;autoraam;B;1;1.01.2012;;;EKL,TA;1;
B3;kühvelraam;kühvelraam;kühvelraam;B;1;1.01.2012;;;EKL,TA;1;
B4;vaakummadrats;vaakummadrats;vaakummadrats;B;1;1.01.2012;;;EKL,TA;1;
B5;muu (täpsustus);muu (täpsustus);muu (täpsustus);B;1;1.01.2012;;;EKL,TA;1;
C;istudes;istudes;istudes;;0;1.01.2012;;;EKL,TA;1;
C1;ratastooliga;ratastooliga;ratastooliga;C;1;1.01.2012;;;EKL,TA;1;
C2;kandetooliga;kandetooliga;kandetooliga;C;1;1.01.2012;;;EKL,TA;1;
C3;süles;süles;süles;C;1;1.01.2012;;;EKL,TA;1;
D;muu (täpsustus);muu (täpsustus);muu (täpsustus);;0;1.01.2012;;;EKL,TA;1;
;;;;;;;;;;;
