Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
A;kodu;kodu;kodu;;0;1.01.2012;;;EKL,TA;1;
B;töökoht;töökoht;töökoht;;0;1.01.2012;;;EKL,TA;1;
C;avalik koht;avalik park;avalik park;;0;1.01.2012;;;EKL,TA;1;
D;tänav, maantee, parkla;tänav, maantee, parkla;tänav, maantee, parkla;;0;1.01.2012;;;EKL,TA;1;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
