Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
0;ei ole ;ei ole;ei ole;;0;1.01.2013;;;Eesti Hambaarstide Liit ja Eesti Ortodontide Selts;1;
1;supragingivaalne hambakivi ;supragingivaalne hambakivi ;supragingivaalne hambakivi ;;0;1.01.2013;;;Eesti Hambaarstide Liit ja Eesti Ortodontide Selts;1;igemepealne hambakivi
2;subgingivaalne hambakivi;subgingivaalne hambakivi;subgingivaalne hambakivi;;0;1.01.2013;;;Eesti Hambaarstide Liit ja Eesti Ortodontide Selts;1;igemealune hambakivi
