Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
PARTNER;kaaslased ;kaaslased ;kaaslased ;;;1.01.2008;;;Eesti E-tervise SA;1;
HOBBY;harrastused ;harrastused ;harrastused ;;;1.01.2008;;;Eesti E-tervise SA;1;
SLEEP;uni ;uni ;uni ;;;1.01.2008;;;Eesti E-tervise SA;1;
TV;TV vaatamine;TV vaatamine;TV vaatamine;;;1.01.2008;;;Eesti E-tervise SA;1;
COMP;arvutiga tegevus ;arvutiga tegevus ;arvutiga tegevus ;;;1.01.2008;;;Eesti E-tervise SA;1;
EAT;söömine ;söömine ;söömine ;;;1.01.2008;;;Eesti E-tervise SA;1;
DRESS;riietumine ;riietumine ;riietumine ;;;1.01.2008;;;Eesti E-tervise SA;1;
PRESCH;kohanemine eelkoolis;kohanemine eelkoolis;kohanemine eelkoolis;;;1.01.2008;;;Eesti E-tervise SA;1;lasteaias esiõpetuse andmine 6-aastastele
BEHAV;käitumine ;käitumine ;käitumine ;;;1.01.2008;;;Eesti E-tervise SA;1;
COMMUNICATE;kontakteerumisvõime;kontakteerumisvõime;kontakteerumisvõime;;;1.01.2008;;;Eesti E-tervise SA;1;
CONCENTRATE;keskendumisvõime ;keskendumisvõime ;keskendumisvõime ;;;1.01.2008;;;Eesti E-tervise SA;1;
SADNESS;kurvameelsus ;kurvameelsus ;kurvameelsus ;;;1.01.2008;;;Eesti E-tervise SA;1;
UNEASE;rahutus ;rahutus ;rahutus ;;;1.01.2008;;;Eesti E-tervise SA;1;
BEHAVDISORD;tikid ;tikid ;tikid ;;;1.01.2008;;;Eesti E-tervise SA;1;
COWARD;argus ;argus ;argus ;;;1.01.2008;;;Eesti E-tervise SA;1;
