KOOD;LÜHINIMETUS;NIMETUS;PIKK_NIMETUS;VANEM_KOOD;HIERARHIA_ASTE;KEHTIVUSE_ALGUSE_KPV;KEHTIVUSE_LÕPU_KPV;VIIMANE_MUUDATUS_KPV;MUUTJA;STAATUS;SELGITUS
1;vanaduspension;vanaduspension;vanaduspension;;;1.01.2002;;;sotsiaalministeerium;1;
2;töövõimetuspension;töövõimetuspension;töövõimetuspension;;;1.01.2002;;;sotsiaalministeerium;1;
3;toitjakaotuspension;toitjakaotuspension;toitjakaotuspension;;;1.01.2002;;;sotsiaalministeerium;1;
4;rahvapension;rahvapension;rahvapension;;;1.01.2002;;;sotsiaalministeerium;1;
