Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus
01;;raviasutus;;;0;09.04.2018;;;1;
02;;hoolekandeasutus;;;0;09.04.2018;;;1;
03;;töökoht;;;0;09.04.2018;;;1;
04;;kodu;;;0;09.04.2018;;;1;
99;;muu;;;0;09.04.2018;;;1;
