Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus
01;;Esineb, kuid ei esinenud viimase 3 päeva jooksul;;;0;16.05.2019;;;1;
02;;Esines 1-2 päeva vältel viimase 3 päeva jooksul;;;0;16.05.2019;;;1;
03;;Esines iga päev viimase 3 päeva jooksul;;;0;16.05.2019;;;1;
