Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
A;olme ;olme ;olme ;;0;1.01.2012;;;EKL,TA;1;
B;suitsiid;suitsiid;suitsiid;;0;1.01.2012;;;EKL,TA;1;
C;teadmata;teadmata;teadmata;;0;1.01.2012;;;EKL,TA;1;
D;muu ;muu ;muu;;0;1.01.2012;;;EKL,TA;1;
D1;töö;töö;töö;D;1;1.01.2012;;;EKL,TA;1;
D2;vägivald;vägivald;vägivald;D;1;1.01.2012;;;EKL,TA;1;
D3;loodus;loodus;loodus;D;1;1.01.2012;;;EKL,TA;1;
D4;muu (täpsustus);muu (täpsustus);muu (täpsustus);D;1;1.01.2012;;;EKL,TA;1;
