Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
K01;reageerib helidele mõlemapoolselt;reageerib helidele mõlemapoolselt;reageerib helidele mõlemapoolselt;;;1.01.2008;;;Eesti E-tervise SA;1;
K02;reageerib väga tugevatele helidele;reageerib väga tugevatele helidele;reageerib väga tugevatele helidele;;;1.01.2008;;;Eesti E-tervise SA;1;
K03;ei reageeri helidele ega kõnele;ei reageeri helidele ega kõnele;ei reageeri helidele ega kõnele;;;1.01.2008;;;Eesti E-tervise SA;1;
K04;kuuleb kõnet (pöörab pead hääle suunas);kuuleb kõnet (pöörab pead hääle suunas);kuuleb kõnet (pöörab pead hääle suunas);;;1.01.2008;;;Eesti E-tervise SA;1;
K05;reageerib olmehelidele;reageerib olmehelidele;reageerib olmehelidele;;;1.01.2008;;;Eesti E-tervise SA;1;
K06;reageerib oma nimele;reageerib oma nimele;reageerib oma nimele;;;1.01.2008;;;Eesti E-tervise SA;1;
K07;vastab kõnetamisele lalinaga, nimele ei reageeri;vastab kõnetamisele lalinaga, nimele ei reageeri;vastab kõnetamisele lalinaga, nimele ei reageeri;;;1.01.2008;;;Eesti E-tervise SA;1;
K08;ei reageeri kõnele;ei reageeri kõnele;ei reageeri kõnele;;;1.01.2008;;;Eesti E-tervise SA;1;
K09;tekivad esimesed seosed sõna ja eseme vahel;tekivad esimesed seosed sõna ja eseme vahel;tekivad esimesed seosed sõna ja eseme vahel;;;1.01.2008;;;Eesti E-tervise SA;1;
K10;reageerib oma nimele;reageerib oma nimele;reageerib oma nimele;;;1.01.2008;;;Eesti E-tervise SA;1;
K11;reageerib kõnele;reageerib kõnele;reageerib kõnele;;;1.01.2008;;;Eesti E-tervise SA;1;
K12;hulgaliselt mõisteid ( ~10~12) (aken, lill, ema, tuli jne);hulgaliselt mõisteid ( ~10~12) (aken, lill, ema, tuli jne);hulgaliselt mõisteid ( ~10~12) (aken, lill, ema, tuli jne);;;1.01.2008;;;Eesti E-tervise SA;1;
K13;üksikud mõisted;üksikud mõisted;üksikud mõisted;;;1.01.2008;;;Eesti E-tervise SA;1;
K14;kuuleb kõnet, reageerib sellele häälitsusega;kuuleb kõnet, reageerib sellele häälitsusega;kuuleb kõnet, reageerib sellele häälitsusega;;;1.01.2008;;;Eesti E-tervise SA;1;
