Kood	Lühinimetus	Nimetus	Pikk_nimetus	Vanem_kood	Hierarhia_aste	Kehtivuse_alguse_kpv	Kehtivuse_lõpu_kpv	Viimane_muudatus_kpv	Muutja	Staatus	Selgitus
A	adekvaatne	adekvaatne	adekvaatne		0	1.01.2012			EKL,TA	1	
B	puudulik	puudulik	puudulik		0	1.01.2012			EKL,TA	1	
C	kiirabi saabumisel ei elustatud	kiirabi saabumisel ei elustatud	kiirabi saabumisel ei elustatud		0	1.01.2012			EKL,TA	1	
