Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
SPECIES_MON;ahv;ahv;ahv;;;1.01.2011;;;Terviseamet;1;
SPECIES_HAM;hamster;hamster;hamster;;;1.01.2011;;;Terviseamet;1;
SPECIES_MOU;hiir;hiir;hiir;;;1.01.2011;;;Terviseamet;1;
SPECIES_HOR;hobune;hobune;hobune;;;1.01.2011;;;Terviseamet;1;
SPECIES_WOL;hunt;hunt;hunt;;;1.01.2011;;;Terviseamet;1;
SPECIES_LYN;ilves;ilves;ilves;;;1.01.2011;;;Terviseamet;1;
SPECIES_HAR;jänes;jänes;jänes;;;1.01.2011;;;Terviseamet;1;
SPECIES_GULL;kajakas;kajakas;kajakas;;;1.01.2011;;;Terviseamet;1;
SPECIES_BEAR;karu;karu;karu;;;1.01.2011;;;Terviseamet;1;
SPECIES_CAT;kass/teada;kass/teada;kass/teada;;;1.01.2011;;;Terviseamet;1;
SPECIES_CAT/STR;kass/võõras;kass/võõras;kass/võõras;;;1.01.2011;;;Terviseamet;1;
SPECIES_GOA;kits;kits;kits;;;1.01.2011;;;Terviseamet;1;
SPECIES_BEA;kobras;kobras;kobras;;;1.01.2011;;;Terviseamet;1;
SPECIES_DOM;kodune rott;kodune rott;kodune rott;;;1.01.2011;;;Terviseamet;1;
SPECIES_DOG;koer/teada;koer/teada;koer/teada;;;1.01.2011;;;Terviseamet;1;
SPECIES_DOG/STR;koer/võõras;koer/võõras;koer/võõras;;;1.01.2011;;;Terviseamet;1;
SPECIES_ROA;kukk/kana;kukk/kana;kukk/kana;;;1.01.2011;;;Terviseamet;1;
SPECIES_RAC;kährik;kährik;kährik;;;1.01.2011;;;Terviseamet;1;
SPECIES_RAB;küülik;küülik;küülik;;;1.01.2011;;;Terviseamet;1;
SPECIES_SHE;lammas;lammas;lammas;;;1.01.2011;;;Terviseamet;1;
SPECIES_GUI;merisiga;merisiga;merisiga;;;1.01.2011;;;Terviseamet;1;
SPECIES_DEE;metskits;metskits;metskits;;;1.01.2011;;;Terviseamet;1;
SPECIES_BOA;metssiga;metssiga;metssiga;;;1.01.2011;;;Terviseamet;1;
SPECIES_MOL;mutt;mutt;mutt;;;1.01.2011;;;Terviseamet;1;
SPECIES_BAD;mäger;mäger;mäger;;;1.01.2011;;;Terviseamet;1;
SPECIES_VOL;mügri;mügri;mügri;;;1.01.2011;;;Terviseamet;1;
SPECIES_MIN;naarits;naarits;naarits;;;1.01.2011;;;Terviseamet;1;
SPECIES_BAT;nahkhiir;nahkhiir;nahkhiir;;;1.01.2011;;;Terviseamet;1;
SPECIES_WEA;nirk;nirk;nirk;;;1.01.2011;;;Terviseamet;1;
SPECIES_MAR;nugis;nugis;nugis;;;1.01.2011;;;Terviseamet;1;
SPECIES_MUS;ondatra;ondatra;ondatra;;;1.01.2011;;;Terviseamet;1;
SPECIES_SQU;orav;orav;orav;;;1.01.2011;;;Terviseamet;1;
SPECIES_PON;poni;poni;poni;;;1.01.2011;;;Terviseamet;1;
SPECIES_ELK;põder;põder;põder;;;1.01.2011;;;Terviseamet;1;
SPECIES_FOX;rebane;rebane;rebane;;;1.01.2011;;;Terviseamet;1;
SPECIES_RAT;rott;rott;rott;;;1.01.2011;;;Terviseamet;1;
SPECIES_OTT;saarmas;saarmas;saarmas;;;1.01.2011;;;Terviseamet;1;
SPECIES_PIG;siga;siga;siga;;;1.01.2011;;;Terviseamet;1;
SPECIES_HED;siil;siil;siil;;;1.01.2011;;;Terviseamet;1;
SPECIES_FER;tuhkur;tuhkur;tuhkur;;;1.01.2011;;;Terviseamet;1;
SPECIES_CHI;tšintšilja;tšintšilja;tšintšilja;;;1.01.2011;;;Terviseamet;1;
SPECIES_COW;veis;veis;veis;;;1.01.2011;;;Terviseamet;1;
SPECIES_DEGU;deegu;deegu;deegu;;;1.04.2013;;;Terviseamet;1;
SPECIES_COATI;ninakaru;ninakaru;ninakaru;;;1.04.2013;;;Terviseamet;1;koaati
SPECIES_PRAIRIEDOG;rohtlahaukur;rohtlahaukur;rohtlahaukur;;;1.04.2013;;;Terviseamet;1;
SPECIES_PARROT;papagoi;papagoi;papagoi;;;1.04.2013;;;Terviseamet;1;
SPECIES_CROW;vares;vares;vares;;;1.04.2013;;;Terviseamet;1;
SPECIES_OTHER;muu loom;muu loom;muu loom;;;1.04.2013;;;Terviseamet;1;
SPECIES_UNK;tundmatu loom;tundmatu loom;tundmatu loom;;;1.01.2011;;;Terviseamet;1;
