Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus
01;;Lühimälu probleemid;;;0;16.05.2019;;;1;
02;;Kaugmälu probleemid;;;0;16.05.2019;;;1;
03;;Protseduurilise mälu probleemid;;;0;16.05.2019;;;1;
04;;Situatsioonilise mälu probleemid;;;0;16.05.2019;;;1;
05;;Mälu on korras;;;0;16.05.2019;;;1;
