Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
12t;12t;12 tundi;12 tundi;;;1.01.2008;;;Sotsiaalministeerium;1;
1-5p;1-5p;1 kuni 5 päeva;1 kuni 5 päeva;;;1.01.2008;;;Sotsiaalministeerium;1;
1k;1k;1 kuu;1 kuu;;;1.01.2008;;;Sotsiaalministeerium;1;
2k;2k;2 kuud;2 kuud;;;1.07.2014;;;Sotsiaalministeerium;1;
3k;3k;3 kuud;3 kuud;;;1.01.2008;;;Sotsiaalministeerium;1;
4,5k;4,5k;4,5 kuud;4,5 kuud;;;1.01.2008;;;Sotsiaalministeerium;1;
6k;6k;6 kuud;6 kuud;;;1.01.2008;;;Sotsiaalministeerium;1;
1a;1a;1 aasta;1 aasta;;;1.01.2008;;;Sotsiaalministeerium;1;
2-3a;2-3a;2 kuni 3 aastat;2 kuni 3 aastat;;;1.01.2008;;;Sotsiaalministeerium;1;alates 2 kuni 3 aastastele
7a;7a;7 aastat;7 aastat;;;1.01.2008;;;Sotsiaalministeerium;1;
12a;12a;12 aastat;12 aastat;;;1.01.2008;;;Sotsiaalministeerium;1;
13a;13a;13 aastat;13 aastat;;;1.01.2008;;;Sotsiaalministeerium;1;
15-16a;15-16a;15 kuni 16 aastat;15 kuni 16 aastat;;;1.01.2008;;;Sotsiaalministeerium;1;alates 15 kuni 16 aastastele
17a;17a;17 aastat;17 aastat;;;1.01.2008;;;Sotsiaalministeerium;1;
18a;18a;18 aastat;18 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
19a;19a;19 aastat;19 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
20a;20a;20 aastat;20 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
21a;21a;21 aastat;21 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
22a;22a;22 aastat;22 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
23a;23a;23 aastat;23 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
24a;24a;24 aastat;24 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
25a;25a;25 aastat;25 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
26a;26a;26 aastat;26 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
27a;27a;27 aastat;27 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
28a;28a;28 aastat;28 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
29a;29a;29 aastat;29 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
30a;30a;30 aastat;30 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
31a;31a;31 aastat;31 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
32a;32a;32 aastat;32 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
33a;33a;33 aastat;33 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
34a;34a;34 aastat;34 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
35a;35a;35 aastat;35 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
36a;36a;36 aastat;36 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
37a;37a;37 aastat;37 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
38a;38a;38 aastat;38 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
39a;39a;39 aastat;39 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
40a;40a;40 aastat;40 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
41a;41a;41 aastat;41 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
42a;42a;42 aastat;42 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
43a;43a;43 aastat;43 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
44a;44a;44 aastat;44 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
45a;45a;45 aastat;45 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
46a;46a;46 aastat;46 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
47a;47a;47 aastat;47 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
48a;48a;48 aastat;48 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
49a;49a;49 aastat;49 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
50a;50a;50 aastat;50 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
51a;51a;51 aastat;51 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
52a;52a;52 aastat;52 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
53a;53a;53 aastat;53 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
54a;54a;54 aastat;54 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
55a;55a;55 aastat;55 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
56a;56a;56 aastat;56 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
57a;57a;57 aastat;57 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
58a;58a;58 aastat;58 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
59a;59a;59 aastat;59 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
60a;60a;60 aastat;60 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
61a;61a;61 aastat;61 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
62a;62a;62 aastat;62 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
63a;63a;63 aastat;63 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
64a;64a;64 aastat;64 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
65a;65a;65 aastat;65 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
66a;66a;66 aastat;66 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
67a;67a;67 aastat;67 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
68a;68a;68 aastat;68 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
69a;69a;69 aastat;69 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
70a;70a;70 aastat;70 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
71a;71a;71 aastat;71 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
72a;72a;72 aastat;72 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
73a;73a;73 aastat;73 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
74a;74a;74 aastat;74 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
75a;75a;75 aastat;75 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
76a;76a;76 aastat;76 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
77a;77a;77 aastat;77 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
78a;78a;78 aastat;78 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
79a;79a;79 aastat;79 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
80a;80a;80 aastat;80 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
81a;81a;81 aastat;81 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
82a;82a;82 aastat;82 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
83a;83a;83 aastat;83 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
84a;84a;84 aastat;84 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
85a;85a;85 aastat;85 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
86a;86a;86 aastat;86 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
87a;87a;87 aastat;87 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
88a;88a;88 aastat;88 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
89a;89a;89 aastat;89 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
90a;90a;90 aastat;90 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
91a;91a;91 aastat;91 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
92a;92a;92 aastat;92 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
93a;93a;93 aastat;93 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
94a;94a;94 aastat;94 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
95a;95a;95 aastat;95 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
96a;96a;96 aastat;96 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
97a;97a;97 aastat;97 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
98a;98a;98 aastat;98 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
99a;99a;99 aastat;99 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
100a;100a;100 aastat;100 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
101a;101a;101 aastat;101 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
102a;102a;102 aastat;102 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
103a;103a;103 aastat;103 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
104a;104a;104 aastat;104 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
105a;105a;105 aastat;105 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
106a;106a;106 aastat;106 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
107a;107a;107 aastat;107 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
108a;108a;108 aastat;108 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
109a;109a;109 aastat;109 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
110a;110a;110 aastat;110 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
111a;111a;111 aastat;111 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
112a;112a;112 aastat;112 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
113a;113a;113 aastat;113 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
114a;114a;114 aastat;114 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
115a;115a;115 aastat;115 aastat;;;1.01.2013;;;Sotsiaalministeerium;1;
