Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
G1;G1;testised - pikkus 20 mm, skrootum ja peenis umbes sama suured kui varajases lapseeas;testised - pikkus 20 mm, skrootum ja peenis umbes sama suured kui varajases lapseeas;;;31.05.2007;;;;1;
G2;G2;skrootum ja testisedsuurenenud skrootumi nahk punakas, õhenenudpeenis ei ole veel suurenenud;skrootum ja testisedsuurenenud skrootumi nahk punakas, õhenenudpeenis ei ole veel suurenenud;;;31.05.2007;;;;1;
G3;G3;peenis pikenenud, testised, skrootum veelgi suurenenud;peenis pikenenud, testised, skrootum veelgi suurenenud;;;31.05.2007;;;;1;
G4;G4;peenis veelgi suurenenud ja jämenenud, glans penis arenenud, tesitsed ja skrootum veelgi suurenenud, skrootum pigmeteerunud;peenis veelgi suurenenud ja jämenenud, glans penis arenenud, tesitsed ja skrootum veelgi suurenenud, skrootum pigmeteerunud;;;31.05.2007;;;;1;
G5;G5;genitaalid saavutanud täiskasvanule iseloomuliku suuruse ja kuju;genitaalid saavutanud täiskasvanule iseloomuliku suuruse ja kuju;;;31.05.2007;;;;1;
