Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
P1;P1;pubitaalkarvastik ei erine kõhu karvastikust;pubitaalkarvastik ei erine kõhu karvastikust;;;31.05.2007;;;;1;
P2;P2;üksikud pikad, vähepigmenteerunud, õrnad, sirged või veidi krussis karvad häbememokkadel või peenise tüvel;üksikud pikad, vähepigmenteerunud, õrnad, sirged või veidi krussis karvad häbememokkadel või peenise tüvel;;;31.05.2007;;;;1;
P3;P3;tunduvalt tumedam, enam krussis karvastik, mis ulatub häbemeliidusele;tunduvalt tumedam, enam krussis karvastik, mis ulatub häbemeliidusele;;;31.05.2007;;;;1;
P4;P4;täiskasvanule omane karvastik, kuid tunduvalt kitsamal alal, ei ulatu reie sisepinnale;täiskasvanule omane karvastik, kuid tunduvalt kitsamal alal, ei ulatu reie sisepinnale;;;31.05.2007;;;;1;
P5;P5;täiskasvanule omane karvastik, ülemine piirjoon sirge, ei levi naba suunas, kuid ulatub reie sisepinnale;täiskasvanule omane karvastik, ülemine piirjoon sirge, ei levi naba suunas, kuid ulatub reie sisepinnale;;;31.05.2007;;;;1;
P6;P6;karvastik levib ka naba suunas;karvastik levib ka naba suunas;;;31.05.2007;;;;1;
