Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
1p;1p;1 päev;1 päev;;;1.01.2008;;;Sotsiaalministeerium;1;
1n;1n;1 nädal;1 nädal;;;1.01.2008;;;Sotsiaalministeerium;1;
2n;2n;2 nadal;2 nadal;;;1.01.2008;;;Sotsiaalministeerium;1;
1k;1k;1 kuu;1 kuu;;;1.01.2008;;;Sotsiaalministeerium;1;
2k;2k;2 kuud;2 kuud;;;1.01.2008;;;Sotsiaalministeerium;1;
3k;3k;3 kuud;3 kuud;;;1.01.2008;;;Sotsiaalministeerium;1;
4,5k;4,5k;4,5 kuud;4,5 kuud;;;1.01.2008;;;Sotsiaalministeerium;1;
6k;6k;6 kuud;6 kuud;;;1.01.2008;;;Sotsiaalministeerium;1;
7k;7k;7 kuud;7 kuud;;;1.01.2008;;;Sotsiaalministeerium;1;
9k;9k;9 kuud;9 kuud;;;1.01.2008;;;Sotsiaalministeerium;1;
12k;12k;1 aasta;1 aasta;;;1.01.2008;;;Sotsiaalministeerium;1;
18k;18k;1,5 aastat;1,5 aastat;;;1.01.2008;;;Sotsiaalministeerium;1;
2a;2a;2 aastat;2 aastat;;;1.01.2008;;;Sotsiaalministeerium;1;
3a;3a;3 aastat;3 aastat;;;1.01.2008;;;Sotsiaalministeerium;1;
5a;5a;5 aastat;5 aastat;;;1.01.2008;;;Sotsiaalministeerium;1;
7a;7a;7 aastat;7 aastat;;;1.01.2008;;;Sotsiaalministeerium;1;
8a1kl;8a/1kl;8 aastat;8 aastat või 1 klass;;;1.01.2008;;;Sotsiaalministeerium;1;
9a2kl;9a/2kl;9 aastat;9 aastat või 2 klass;;;1.01.2008;;;Sotsiaalministeerium;1;
10a3kl;10a/3kl;10 aastat;10 aastat või 3 klass;;;1.01.2008;;;Sotsiaalministeerium;1;
12a5kl;12a/5kl;12aastat;12aastat või 5 klass;;;1.01.2008;;;Sotsiaalministeerium;1;
14a7kl;14a/7kl;14 aastat;14 aastat või 7 klass;;;1.01.2008;;;Sotsiaalministeerium;1;
16a9kl;16a/9kl;16 aastat;16 aastat või 9 klass;;;1.01.2008;;;Sotsiaalministeerium;1;
18a11kl;18a/11kl;18 aastat;18 aastat või 11 klass;;;1.01.2008;;;Sotsiaalministeerium;1;
