Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
AAM;Afroameeriklane;Afroameeriklane;Afroameeriklane;;0;5.12.2014;;;Sotsiaalministeerium, Statistikaamet, Tervise Arengu Instituut;1;USA-s (laiemas tähenduses Põhja-Ameerikas) elav rassirühm, kelle vähemalt üks vanematest on pärit Aafrika mandrilt 
ABA;Abasiin;Abasiin;Abasiin;;0;5.12.2014;;;Sotsiaalministeerium, Statistikaamet, Tervise Arengu Instituut;1;
ABK;Abhaas;Abhaas;Abhaas;;0;5.12.2014;;;Sotsiaalministeerium, Statistikaamet, Tervise Arengu Instituut;1;
ADY;Adõgee;Adõgee;Adõgee;;0;5.12.2014;;;Sotsiaalministeerium, Statistikaamet, Tervise Arengu Instituut;1;
AFR;Afrikander;Afrikander;Afrikander;;0;5.12.2014;;;Sotsiaalministeerium, Statistikaamet, Tervise Arengu Instituut;1;Rahvas (valged) Lõuna-Aafrikas, kes räägivad afrikaani keelt ning on enamasti Hollandi või Prantsuse päritolu
AGU;Agul;Agul;Agul;;0;5.12.2014;;;Sotsiaalministeerium, Statistikaamet, Tervise Arengu Instituut;1;
AIN;Ainu;Ainu;Ainu;;0;5.12.2014;;;Sotsiaalministeerium, Statistikaamet, Tervise Arengu Instituut;1;Jaapani põhjaosas elav rahvas
AKA;Akan;Akan;Akan;;0;5.12.2014;;;Sotsiaalministeerium, Statistikaamet, Tervise Arengu Instituut;1;Elavad Gaanas, Elevandiluurannikul, Libeerias, Nigeerias, Togos
ALB;Albaanlane;Albaanlane;Albaanlane;;0;5.12.2014;;;Sotsiaalministeerium, Statistikaamet, Tervise Arengu Instituut;1;
ALT;Altailane;Altailane;Altailane;;0;5.12.2014;;;Sotsiaalministeerium, Statistikaamet, Tervise Arengu Instituut;1;Turgi rahva üldnimetus
AMH;Amhara;Amhara;Amhara;;0;5.12.2014;;;Sotsiaalministeerium, Statistikaamet, Tervise Arengu Instituut;1;
