Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
A;politsei ootamine;politsei ootamine;politsei ootamine;;0;1.01.2012;;;EKL,TA;1;
B;päästjate ootamine;päästjate ootamine;päästjate ootamine;;0;1.01.2012;;;EKL,TA;1;
C;kuri loom;kuri loom;kuri loom;;0;1.01.2012;;;EKL,TA;1;
D;teesulg;teesulg;teesulg;;0;1.01.2012;;;EKL,TA;1;
E;ei avata;ei avata;ei avata;;0;1.01.2012;;;EKL,TA;1;
F;vale aadress;vale aadress;vale aadress;;0;1.01.2012;;;EKL,TA;1;
G;muu(täpsustus);muu(täpsustus);muu(täpsustus);;0;1.01.2012;;;EKL,TA;1;
