Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus
DEATH_REPRESENTATIVE;;esindaja (vaatamisõiguslik peale surma);;;0;09.04.2018;;;1;
DEATH_REPRESENTATIVE_NULLIFIED;;õigused puuduvad peale surma;;;0;09.04.2018;;;1;
DEATH_REPRESENTATIVE_DISCARDED;;esindaja (õigustest on loobutud peale surma);;;0;09.04.2018;;;1;
