KOOD;LÜHINIMETUS;NIMETUS;PIKK_NIMETUS;VANEM_KOOD;HIERARHIA_ASTE;KEHTIVUSE_ALGUSE_KPV;KEHTIVUSE_LÕPU_KPV;VIIMANE_MUUDATUS_KPV;MUUTJA;STAATUS;SELGITUS
61;2 sõnalised laused;2 sõnalised laused;2 sõnalised laused;;;1.01.2008;;;Sotsiaalministeerium;1;
62;joonistab ringi;joonistab ringi;joonistab ringi;;;1.01.2008;;;Sotsiaalministeerium;1;
63;tunneb värve;tunneb värve;tunneb värve;;;1.01.2008;;;Sotsiaalministeerium;1;
64;osaleb vestlusel;osaleb vestlusel;osaleb vestlusel;;;1.01.2008;;;Sotsiaalministeerium;1;
65;vastab kes, mis küsimustele;vastab kes, mis küsimustele;vastab kes, mis küsimustele;;;1.01.2008;;;Sotsiaalministeerium;1;
66;oskab hüpata ühel jalal;oskab hüpata ühel jalal;oskab hüpata ühel jalal;;;1.01.2008;;;Sotsiaalministeerium;1;
67;joonistab risti;joonistab risti;joonistab risti;;;1.01.2008;;;Sotsiaalministeerium;1;
68;räägib soravalt;räägib soravalt;räägib soravalt;;;1.01.2008;;;Sotsiaalministeerium;1;
69;hääldab kõiki häälikuid;hääldab kõiki häälikuid;hääldab kõiki häälikuid;;;1.01.2008;;;Sotsiaalministeerium;1;
70;lasteaialaps;lasteaialaps;lasteaialaps;;;1.01.2008;;;Sotsiaalministeerium;1;
