Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
AVATUD;avatud;avatud;avatud;0;0;01.07.2016;;;;1;
VASTUVOTUKUTSEGA;vastuvõtukutsega;vastuvõtukutsega;vastuvõtukutsega;0;0;01.07.2016;;;;1;
LUKUSTATUD;lukustatud;lukustatud;lukustatud;0;0;01.07.2016;;;;1;
VASTUVOTT_TOIMUNUD;vastuvõtt toimunud;vastuvõtt toimunud;vastuvõtt toimunud;0;0;01.07.2016;;;;1;
EI_ILMUNUD;ei ilmunud;ei ilmunud;ei ilmunud;0;0;01.07.2016;16.05.2019;;;1;
LOPETATUD;lõpetatud;lõpetatud;lõpetatud;0;0;01.07.2016;;;;1;
AEGUNUD;aegunud;aegunud;aegunud;0;0;01.07.2016;;;;1;
TYHISTATUD;tühistatud;tühistatud;tühistatud;0;0;01.07.2016;;;;1;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
