CODE;PARENT_CODE;ITEM_LEVEL;NAME_ET;NAME_EN;NAME_RU;SHORTNAME_ET;SHORTNAME_EN;SHORTNAME_RU;DESCRIPTION_ET;DESCRIPTION_EN;DESCRIPTION_RU;INCLUDES_ET;INCLUDES_EN;INCLUDES_RU;INCLUDES_ALSO_ET;INCLUDES_ALSO_EN;INCLUDES_ALSO_RU;EXCLUDES_ET;EXCLUDES_EN;EXCLUDES_RU;NOTES;MEAS_UNIT;ALTTEXT_ET;ALTTEXT_EN;ALTTEXT_RU;VALIDFROM;VALIDTO
8039;0890;3;Tagaküla / Bakbyn;Tagaküla / Bakbyn village;??????? ???????? / ???????;;;;Harju maakond, Viimsi vald, Tagaküla / Bakbyn;Harju county, Viimsi rural municipality, Tagaküla / Bakbyn village;????????? ????, ??????? ??????, ??????? ???????? / ???????;;;;;;;;;;;;;;;;
8040;0917;3;Tagaküla;Tagaküla village;??????? ????????;;;;Võru maakond, Võru vald, Tagaküla;Võru county, Võru rural municipality, Tagaküla village;???????? ????, ??????? ????, ??????? ????????;;;;;;;;;;;;;;;;
8045;0725;3;Tagametsa küla;Tagametsa village;??????? ?????????;;;;Harju maakond, Saue vald, Tagametsa küla;Harju county, Saue rural municipality, Tagametsa village;????????? ????, ??????? ????, ??????? ?????????;;;;;;;;;;;;;;;;
8048;0899;3;Tagamõisa küla;Tagamõisa village;??????? ?????????;;;;Viljandi maakond, Viljandi vald, Tagamõisa küla;Viljandi county, Viljandi rural municipality, Tagamõisa village;???????????? ????, ??????? ????????, ??????? ?????????;;;;;;;;;;;;;;;;
8049;0714;3;Tagamõisa küla;Tagamõisa village;??????? ?????????;;;;Saare maakond, Saaremaa vald, Tagamõisa küla;Saare county, Saaremaa rural municipality, Tagamõisa village;????????? ????, ??????? ????????, ??????? ?????????;;;;;;;;;;;;;;;;
8050;0899;3;Taganurga küla;Taganurga village;??????? ?????????;;;;Viljandi maakond, Viljandi vald, Taganurga küla;Viljandi county, Viljandi rural municipality, Taganurga village;???????????? ????, ??????? ????????, ??????? ?????????;;;;;;;;;;;;;;;;
8053;0714;3;Tagaranna küla;Tagaranna village;??????? ?????????;;;;Saare maakond, Saaremaa vald, Tagaranna küla;Saare county, Saaremaa rural municipality, Tagaranna village;????????? ????, ??????? ????????, ??????? ?????????;;;;;;;;;;;;;;;;
8055;0638;3;Tagassaare küla;Tagassaare village;??????? ??????????;;;;Pärnu maakond, Põhja-Pärnumaa vald, Tagassaare küla;Pärnu county, Põhja-Pärnumaa rural municipality, Tagassaare village;????????? ????, ??????? ?????-????????, ??????? ??????????;;;;;;;;;;;;;;;;
8058;0441;3;Tagavere küla;Tagavere village;??????? ????????;;;;Lääne maakond, Lääne-Nigula vald, Tagavere küla;Lääne county, Lääne-Nigula rural municipality, Tagavere village;????????? ????, ??????? ?????-??????, ??????? ????????;;;;;;;;;;;;;;;;
8059;0714;3;Tagavere küla;Tagavere village;??????? ????????;;;;Saare maakond, Saaremaa vald, Tagavere küla;Saare county, Saaremaa rural municipality, Tagavere village;????????? ????, ??????? ????????, ??????? ????????;;;;;;;;;;;;;;;;
