CODE;PARENT_CODE;ITEM_LEVEL;NAME_ET;NAME_EN;NAME_RU;SHORTNAME_ET;SHORTNAME_EN;SHORTNAME_RU;DESCRIPTION_ET;DESCRIPTION_EN;DESCRIPTION_RU;INCLUDES_ET;INCLUDES_EN;INCLUDES_RU;INCLUDES_ALSO_ET;INCLUDES_ALSO_EN;INCLUDES_ALSO_RU;EXCLUDES_ET;EXCLUDES_EN;EXCLUDES_RU;NOTES;MEAS_UNIT;ALTTEXT_ET;ALTTEXT_EN;ALTTEXT_RU;VALIDFROM;VALIDTO
0037;;1;Harju maakond;Harju county;????????? ????;;;;Harju maakond;Harju county;????????? ????;;;;;;;;;;;;;;;;
0039;;1;Hiiu maakond;Hiiu county;???????? ????;;;;Hiiu maakond;Hiiu county;???????? ????;;;;;;;;;;;;;;;;
0045;;1;Ida-Viru maakond;Ida-Viru county;???-???????? ????;;;;Ida-Viru maakond;Ida-Viru county;???-???????? ????;;;;;;;;;;;;;;;;
0050;;1;Jõgeva maakond;Jõgeva county;?????????? ????;;;;Jõgeva maakond;Jõgeva county;?????????? ????;;;;;;;;;;;;;;;;
0052;;1;Järva maakond;Järva county;???????? ????;;;;Järva maakond;Järva county;???????? ????;;;;;;;;;;;;;;;;
0056;;1;Lääne maakond;Lääne county;????????? ????;;;;Lääne maakond;Lääne county;????????? ????;;;;;;;;;;;;;;;;
0060;;1;Lääne-Viru maakond;Lääne-Viru county;?????-???????? ????;;;;Lääne-Viru maakond;Lääne-Viru county;?????-???????? ????;;;;;;;;;;;;;;;;
0064;;1;Põlva maakond;Põlva county;????????? ????;;;;Põlva maakond;Põlva county;????????? ????;;;;;;;;;;;;;;;;
0068;;1;Pärnu maakond;Pärnu county;????????? ????;;;;Pärnu maakond;Pärnu county;????????? ????;;;;;;;;;;;;;;;;
0071;;1;Rapla maakond;Rapla county;????????? ????;;;;Rapla maakond;Rapla county;????????? ????;;;;;;;;;;;;;;;;
0074;;1;Saare maakond;Saare county;????????? ????;;;;Saare maakond;Saare county;????????? ????;;;;;;;;;;;;;;;;
0079;;1;Tartu maakond;Tartu county;????????? ????;;;;Tartu maakond;Tartu county;????????? ????;;;;;;;;;;;;;;;;
0081;;1;Valga maakond;Valga county;????????? ????;;;;Valga maakond;Valga county;????????? ????;;;;;;;;;;;;;;;;
0084;;1;Viljandi maakond;Viljandi county;???????????? ????;;;;Viljandi maakond;Viljandi county;???????????? ????;;;;;;;;;;;;;;;;
0087;;1;Võru maakond;Võru county;???????? ????;;;;Võru maakond;Võru county;???????? ????;;;;;;;;;;;;;;;;
0120;0321;3;Ahtme linnaosa;Ahtme city district;????? ?????? ?????;;;;Ida-Viru maakond, Kohtla-Järve linn, Ahtme linnaosa;Ida-Viru county, Kohtla-Järve city, Ahtme city district;???-???????? ????, ????? ??????-????, ????? ?????? ?????;;;;;;;;;;;;;;;;
0130;0045;2;Alutaguse vald;Alutaguse rural municipality;??????? ?????????;;;;Ida-Viru maakond, Alutaguse vald;Ida-Viru county, Alutaguse rural municipality;???-???????? ????, ??????? ?????????;;;;;;;;;;;;;;;;
0141;0037;2;Anija vald;Anija rural municipality;??????? ????;;;;Harju maakond, Anija vald;Harju county, Anija rural municipality;????????? ????, ??????? ????;;;;;;;;;;;;;;;;
0142;0087;2;Antsla vald;Antsla rural municipality;??????? ??????;;;;Võru maakond, Antsla vald;Võru county, Antsla rural municipality;???????? ????, ??????? ??????;;;;;;;;;;;;;;;;
0171;0079;2;Elva vald;Elva rural municipality;??????? ????;;;;Tartu maakond, Elva vald;Tartu county, Elva rural municipality;????????? ????, ??????? ????;;;;;;;;;;;;;;;;
0176;0784;3;Haabersti linnaosa;Haabersti city district;????? ?????? ?????????;;;;Harju maakond, Tallinn, Haabersti linnaosa;Harju county, Tallinn city, Haabersti city district;????????? ????, ????? ???????, ????? ?????? ?????????;;;;;;;;;;;;;;;;
0184;0056;2;Haapsalu linn;Haapsalu city;????? ????????;;;;Lääne maakond, Haapsalu linn;Lääne county, Haapsalu city;????????? ????, ????? ????????;;;;;;;;;;;;;;;;
0191;0060;2;Haljala vald;Haljala rural municipality;??????? ???????;;;;Lääne-Viru maakond, Haljala vald;Lääne-Viru county, Haljala rural municipality;?????-???????? ????, ??????? ???????;;;;;;;;;;;;;;;;
0198;0037;2;Harku vald;Harku rural municipality;??????? ?????;;;;Harju maakond, Harku vald;Harju county, Harku rural municipality;????????? ????, ??????? ?????;;;;;;;;;;;;;;;;
0205;0039;2;Hiiumaa vald;Hiiumaa rural municipality;??????? ???????;;;;Hiiu maakond, Hiiumaa vald;Hiiu county, Hiiumaa rural municipality;???????? ????, ??????? ???????;;;;;;;;;;;;;;;;
0214;0068;2;Häädemeeste vald;Häädemeeste rural municipality;??????? ???????????;;;;Pärnu maakond, Häädemeeste vald;Pärnu county, Häädemeeste rural municipality;????????? ????, ??????? ???????????;;;;;;;;;;;;;;;;
0245;0037;2;Jõelähtme vald;Jõelähtme rural municipality;??????? ?????????;;;;Harju maakond, Jõelähtme vald;Harju county, Jõelähtme rural municipality;????????? ????, ??????? ?????????;;;;;;;;;;;;;;;;
0247;0050;2;Jõgeva vald;Jõgeva rural municipality;??????? ??????;;;;Jõgeva maakond, Jõgeva vald;Jõgeva county, Jõgeva rural municipality;?????????? ????, ??????? ??????;;;;;;;;;;;;;;;;
0251;0045;2;Jõhvi vald;Jõhvi rural municipality;??????? ?????;;;;Ida-Viru maakond, Jõhvi vald;Ida-Viru county, Jõhvi rural municipality;???-???????? ????, ??????? ?????;;;;;;;;;;;;;;;;
0255;0052;2;Järva vald;Järva rural municipality;??????? ????;;;;Järva maakond, Järva vald;Järva county, Järva rural municipality;???????? ????, ??????? ????;;;;;;;;;;;;;;;;
0265;0321;3;Järve linnaosa;Järve city district;????? ?????? ????;;;;Ida-Viru maakond, Kohtla-Järve linn, Järve linnaosa;Ida-Viru county, Kohtla-Järve city, Järve city district;???-???????? ????, ????? ??????-????, ????? ?????? ????;;;;;;;;;;;;;;;;
0272;0060;2;Kadrina vald;Kadrina rural municipality;??????? ???????;;;;Lääne-Viru maakond, Kadrina vald;Lääne-Viru county, Kadrina rural municipality;?????-???????? ????, ??????? ???????;;;;;;;;;;;;;;;;
0283;0079;2;Kambja vald;Kambja rural municipality;??????? ??????;;;;Tartu maakond, Kambja vald;Tartu county, Kambja rural municipality;????????? ????, ??????? ??????;;;;;;;;;;;;;;;;
0284;0064;2;Kanepi vald;Kanepi rural municipality;??????? ??????;;;;Põlva maakond, Kanepi vald;Põlva county, Kanepi rural municipality;????????? ????, ??????? ??????;;;;;;;;;;;;;;;;
0291;0079;2;Kastre vald;Kastre rural municipality;??????? ??????;;;;Tartu maakond, Kastre vald;Tartu county, Kastre rural municipality;????????? ????, ??????? ??????;;;;;;;;;;;;;;;;
0293;0071;2;Kehtna vald;Kehtna rural municipality;??????? ??????;;;;Rapla maakond, Kehtna vald;Rapla county, Kehtna rural municipality;????????? ????, ??????? ??????;;;;;;;;;;;;;;;;
0296;0037;2;Keila linn;Keila city;????? ?????;;;;Harju maakond, Keila linn;Harju county, Keila city;????????? ????, ????? ?????;;;;;;;;;;;;;;;;
0298;0784;3;Kesklinna linnaosa;Kesklinn city district;????? ?????? ????????;;;;Harju maakond, Tallinn, Kesklinna linnaosa;Harju county, Tallinn city, Kesklinn city district;????????? ????, ????? ???????, ????? ?????? ????????;;;;;;;;;;;;;;;;
0303;0068;2;Kihnu vald;Kihnu rural municipality;??????? ?????;;;;Pärnu maakond, Kihnu vald;Pärnu county, Kihnu rural municipality;????????? ????, ??????? ?????;;;;;;;;;;;;;;;;
0305;0037;2;Kiili vald;Kiili rural municipality;??????? ?????;;;;Harju maakond, Kiili vald;Harju county, Kiili rural municipality;????????? ????, ??????? ?????;;;;;;;;;;;;;;;;
0317;0071;2;Kohila vald;Kohila rural municipality;??????? ??????;;;;Rapla maakond, Kohila vald;Rapla county, Kohila rural municipality;????????? ????, ??????? ??????;;;;;;;;;;;;;;;;
0321;0045;2;Kohtla-Järve linn;Kohtla-Järve city;????? ??????-????;;;;Ida-Viru maakond, Kohtla-Järve linn;Ida-Viru county, Kohtla-Järve city;???-???????? ????, ????? ??????-????;;;;;;;;;;;;;;;;
0338;0037;2;Kose vald;Kose rural municipality;??????? ????;;;;Harju maakond, Kose vald;Harju county, Kose rural municipality;????????? ????, ??????? ????;;;;;;;;;;;;;;;;
0339;0784;3;Kristiine linnaosa;Kristiine city district;????? ?????? ?????????;;;;Harju maakond, Tallinn, Kristiine linnaosa;Harju county, Tallinn city, Kristiine city district;????????? ????, ????? ???????, ????? ?????? ?????????;;;;;;;;;;;;;;;;
0340;0321;3;Kukruse linnaosa;Kukruse city district;????? ?????? ???????;;;;Ida-Viru maakond, Kohtla-Järve linn, Kukruse linnaosa;Ida-Viru county, Kohtla-Järve city, Kukruse city district;???-???????? ????, ????? ??????-????, ????? ?????? ???????;;;;;;;;;;;;;;;;
0353;0037;2;Kuusalu vald;Kuusalu rural municipality;??????? ???????;;;;Harju maakond, Kuusalu vald;Harju county, Kuusalu rural municipality;????????? ????, ??????? ???????;;;;;;;;;;;;;;;;
0387;0784;3;Lasnamäe linnaosa;Lasnamäe city district;????? ?????? ????????;;;;Harju maakond, Tallinn, Lasnamäe linnaosa;Harju county, Tallinn city, Lasnamäe city district;????????? ????, ????? ???????, ????? ?????? ????????;;;;;;;;;;;;;;;;
0424;0037;2;Loksa linn;Loksa city;????? ?????;;;;Harju maakond, Loksa linn;Harju county, Loksa city;????????? ????, ????? ?????;;;;;;;;;;;;;;;;
0430;0068;2;Lääneranna vald;Lääneranna rural municipality;??????? ??????????;;;;Pärnu maakond, Lääneranna vald;Pärnu county, Lääneranna rural municipality;????????? ????, ??????? ??????????;;;;;;;;;;;;;;;;
0431;0037;2;Lääne-Harju vald;Lääne-Harju rural municipality;??????? ?????-?????;;;;Harju maakond, Lääne-Harju vald;Harju county, Lääne-Harju rural municipality;????????? ????, ??????? ?????-?????;;;;;;;;;;;;;;;;
0432;0079;2;Luunja vald;Luunja rural municipality;??????? ??????;;;;Tartu maakond, Luunja vald;Tartu county, Luunja rural municipality;????????? ????, ??????? ??????;;;;;;;;;;;;;;;;
0441;0056;2;Lääne-Nigula vald;Lääne-Nigula rural municipality;??????? ?????-??????;;;;Lääne maakond, Lääne-Nigula vald;Lääne county, Lääne-Nigula rural municipality;????????? ????, ??????? ?????-??????;;;;;;;;;;;;;;;;
0442;0045;2;Lüganuse vald;Lüganuse rural municipality;??????? ????????;;;;Ida-Viru maakond, Lüganuse vald;Ida-Viru county, Lüganuse rural municipality;???-???????? ????, ??????? ????????;;;;;;;;;;;;;;;;
0446;0037;2;Maardu linn;Maardu city;????? ??????;;;;Harju maakond, Maardu linn;Harju county, Maardu city;????????? ????, ????? ??????;;;;;;;;;;;;;;;;
0478;0074;2;Muhu vald;Muhu rural municipality;??????? ????;;;;Saare maakond, Muhu vald;Saare county, Muhu rural municipality;????????? ????, ??????? ????;;;;;;;;;;;;;;;;
0480;0084;2;Mulgi vald;Mulgi rural municipality;??????? ?????;;;;Viljandi maakond, Mulgi vald;Viljandi county, Mulgi rural municipality;???????????? ????, ??????? ?????;;;;;;;;;;;;;;;;
0482;0784;3;Mustamäe linnaosa;Mustamäe city district;????? ?????? ????????;;;;Harju maakond, Tallinn, Mustamäe linnaosa;Harju county, Tallinn city, Mustamäe city district;????????? ????, ????? ???????, ????? ?????? ????????;;;;;;;;;;;;;;;;
0486;0050;2;Mustvee vald;Mustvee rural municipality;??????? ???????;;;;Jõgeva maakond, Mustvee vald;Jõgeva county, Mustvee rural municipality;?????????? ????, ??????? ???????;;;;;;;;;;;;;;;;
0502;0071;2;Märjamaa vald;Märjamaa rural municipality;??????? ????????;;;;Rapla maakond, Märjamaa vald;Rapla county, Märjamaa rural municipality;????????? ????, ??????? ????????;;;;;;;;;;;;;;;;
0511;0045;2;Narva linn;Narva city;????? ?????;;;;Ida-Viru maakond, Narva linn;Ida-Viru county, Narva city;???-???????? ????, ????? ?????;;;;;;;;;;;;;;;;
0515;0045;2;Narva-Jõesuu linn;Narva-Jõesuu city;????? ?????-??????;;;;Ida-Viru maakond, Narva-Jõesuu linn;Ida-Viru county, Narva-Jõesuu city;???-???????? ????, ????? ?????-??????;;;;;;;;;;;;;;;;
0524;0784;3;Nõmme linnaosa;Nõmme city district;????? ?????? ?????;;;;Harju maakond, Tallinn, Nõmme linnaosa;Harju county, Tallinn city, Nõmme city district;????????? ????, ????? ???????, ????? ?????? ?????;;;;;;;;;;;;;;;;
0528;0079;2;Nõo vald;Nõo rural municipality;??????? ???;;;;Tartu maakond, Nõo vald;Tartu county, Nõo rural municipality;????????? ????, ??????? ???;;;;;;;;;;;;;;;;
0553;0321;3;Oru linnaosa;Oru city district;????? ?????? ???;;;;Ida-Viru maakond, Kohtla-Järve linn, Oru linnaosa;Ida-Viru county, Kohtla-Järve city, Oru city district;???-???????? ????, ????? ??????-????, ????? ?????? ???;;;;;;;;;;;;;;;;
0557;0081;2;Otepää vald;Otepää rural municipality;??????? ??????;;;;Valga maakond, Otepää vald;Valga county, Otepää rural municipality;????????? ????, ??????? ??????;;;;;;;;;;;;;;;;
0567;0052;2;Paide linn;Paide city;????? ?????;;;;Järva maakond, Paide linn;Järva county, Paide city;???????? ????, ????? ?????;;;;;;;;;;;;;;;;
0586;0079;2;Peipsiääre vald;Peipsiääre rural municipality;??????? ??????????;;;;Tartu maakond, Peipsiääre vald;Tartu county, Peipsiääre rural municipality;????????? ????, ??????? ??????????;;;;;;;;;;;;;;;;
0596;0784;3;Pirita linnaosa;Pirita city district;????? ?????? ??????;;;;Harju maakond, Tallinn, Pirita linnaosa;Harju county, Tallinn city, Pirita city district;????????? ????, ????? ???????, ????? ?????? ??????;;;;;;;;;;;;;;;;
0614;0784;3;Põhja-Tallinna linnaosa;Põhja-Tallinn city district;????? ?????? ?????-???????;;;;Harju maakond, Tallinn, Põhja-Tallinna linnaosa;Harju county, Tallinn city, Põhja-Tallinn city district;????????? ????, ????? ???????, ????? ?????? ?????-???????;;;;;;;;;;;;;;;;
0615;0084;2;Põhja-Sakala vald;Põhja-Sakala rural municipality;??????? ?????-??????;;;;Viljandi maakond, Põhja-Sakala vald;Viljandi county, Põhja-Sakala rural municipality;???????????? ????, ??????? ?????-??????;;;;;;;;;;;;;;;;
0618;0050;2;Põltsamaa vald;Põltsamaa rural municipality;??????? ?????????;;;;Jõgeva maakond, Põltsamaa vald;Jõgeva county, Põltsamaa rural municipality;?????????? ????, ??????? ?????????;;;;;;;;;;;;;;;;
0622;0064;2;Põlva vald;Põlva rural municipality;??????? ?????;;;;Põlva maakond, Põlva vald;Põlva county, Põlva rural municipality;????????? ????, ??????? ?????;;;;;;;;;;;;;;;;
0624;0068;2;Pärnu linn;Pärnu city;????? ?????;;;;Pärnu maakond, Pärnu linn;Pärnu county, Pärnu city;????????? ????, ????? ?????;;;;;;;;;;;;;;;;
0638;0068;2;Põhja-Pärnumaa vald;Põhja-Pärnumaa rural municipality;??????? ?????-????????;;;;Pärnu maakond, Põhja-Pärnumaa vald;Pärnu county, Põhja-Pärnumaa rural municipality;????????? ????, ??????? ?????-????????;;;;;;;;;;;;;;;;
0651;0037;2;Raasiku vald;Raasiku rural municipality;??????? ???????;;;;Harju maakond, Raasiku vald;Harju county, Raasiku rural municipality;????????? ????, ??????? ???????;;;;;;;;;;;;;;;;
0653;0037;2;Rae vald;Rae rural municipality;??????? ???;;;;Harju maakond, Rae vald;Harju county, Rae rural municipality;????????? ????, ??????? ???;;;;;;;;;;;;;;;;
0661;0060;2;Rakvere vald;Rakvere rural municipality;??????? ???????;;;;Lääne-Viru maakond, Rakvere vald;Lääne-Viru county, Rakvere rural municipality;?????-???????? ????, ??????? ???????;;;;;;;;;;;;;;;;
0663;0060;2;Rakvere linn;Rakvere city;????? ???????;;;;Lääne-Viru maakond, Rakvere linn;Lääne-Viru county, Rakvere city;?????-???????? ????, ????? ???????;;;;;;;;;;;;;;;;
0668;0071;2;Rapla vald;Rapla rural municipality;??????? ?????;;;;Rapla maakond, Rapla vald;Rapla county, Rapla rural municipality;????????? ????, ??????? ?????;;;;;;;;;;;;;;;;
0689;0074;2;Ruhnu vald;Ruhnu rural municipality;??????? ?????;;;;Saare maakond, Ruhnu vald;Saare county, Ruhnu rural municipality;????????? ????, ??????? ?????;;;;;;;;;;;;;;;;
0698;0087;2;Rõuge vald;Rõuge rural municipality;??????? ?????;;;;Võru maakond, Rõuge vald;Võru county, Rõuge rural municipality;???????? ????, ??????? ?????;;;;;;;;;;;;;;;;
0708;0064;2;Räpina vald;Räpina rural municipality;??????? ??????;;;;Põlva maakond, Räpina vald;Põlva county, Räpina rural municipality;????????? ????, ??????? ??????;;;;;;;;;;;;;;;;
0712;0068;2;Saarde vald;Saarde rural municipality;??????? ??????;;;;Pärnu maakond, Saarde vald;Pärnu county, Saarde rural municipality;????????? ????, ??????? ??????;;;;;;;;;;;;;;;;
0714;0074;2;Saaremaa vald;Saaremaa rural municipality;??????? ????????;;;;Saare maakond, Saaremaa vald;Saare county, Saaremaa rural municipality;????????? ????, ??????? ????????;;;;;;;;;;;;;;;;
0719;0037;2;Saku vald;Saku rural municipality;??????? ????;;;;Harju maakond, Saku vald;Harju county, Saku rural municipality;????????? ????, ??????? ????;;;;;;;;;;;;;;;;
0725;0037;2;Saue vald;Saue rural municipality;??????? ????;;;;Harju maakond, Saue vald;Harju county, Saue rural municipality;????????? ????, ??????? ????;;;;;;;;;;;;;;;;
0732;0087;2;Setomaa vald;Setomaa rural municipality;??????? ???????;;;;Võru maakond, Setomaa vald;Võru county, Setomaa rural municipality;???????? ????, ??????? ???????;;;;;;;;;;;;;;;;
0736;0045;2;Sillamäe linn;Sillamäe city;????? ????????;;;;Ida-Viru maakond, Sillamäe linn;Ida-Viru county, Sillamäe city;???-???????? ????, ????? ????????;;;;;;;;;;;;;;;;
0747;0321;3;Sompa linnaosa;Sompa city district;????? ?????? ?????;;;;Ida-Viru maakond, Kohtla-Järve linn, Sompa linnaosa;Ida-Viru county, Kohtla-Järve city, Sompa city district;???-???????? ????, ????? ??????-????, ????? ?????? ?????;;;;;;;;;;;;;;;;
0784;0037;2;Tallinn;Tallinn city;????? ???????;;;;Harju maakond, Tallinn;Harju county, Tallinn city;????????? ????, ????? ???????;;;;;;;;;;;;;;;;
0792;0060;2;Tapa vald;Tapa rural municipality;??????? ????;;;;Lääne-Viru maakond, Tapa vald;Lääne-Viru county, Tapa rural municipality;?????-???????? ????, ??????? ????;;;;;;;;;;;;;;;;
0793;0079;2;Tartu linn;Tartu city;????? ?????;;;;Tartu maakond, Tartu linn;Tartu county, Tartu city;????????? ????, ????? ?????;;;;;;;;;;;;;;;;
0796;0079;2;Tartu vald;Tartu rural municipality;??????? ?????;;;;Tartu maakond, Tartu vald;Tartu county, Tartu rural municipality;????????? ????, ??????? ?????;;;;;;;;;;;;;;;;
0803;0045;2;Toila vald;Toila rural municipality;??????? ?????;;;;Ida-Viru maakond, Toila vald;Ida-Viru county, Toila rural municipality;???-???????? ????, ??????? ?????;;;;;;;;;;;;;;;;
0809;0068;2;Tori vald;Tori rural municipality;??????? ????;;;;Pärnu maakond, Tori vald;Pärnu county, Tori rural municipality;????????? ????, ??????? ????;;;;;;;;;;;;;;;;
0824;0081;2;Tõrva vald;Tõrva rural municipality;??????? ?????;;;;Valga maakond, Tõrva vald;Valga county, Tõrva rural municipality;????????? ????, ??????? ?????;;;;;;;;;;;;;;;;
0834;0052;2;Türi vald;Türi rural municipality;??????? ????;;;;Järva maakond, Türi vald;Järva county, Türi rural municipality;???????? ????, ??????? ????;;;;;;;;;;;;;;;;
0855;0081;2;Valga vald;Valga rural municipality;??????? ?????;;;;Valga maakond, Valga vald;Valga county, Valga rural municipality;????????? ????, ??????? ?????;;;;;;;;;;;;;;;;
0890;0037;2;Viimsi vald;Viimsi rural municipality;??????? ??????;;;;Harju maakond, Viimsi vald;Harju county, Viimsi rural municipality;????????? ????, ??????? ??????;;;;;;;;;;;;;;;;
0897;0084;2;Viljandi linn;Viljandi city;????? ????????;;;;Viljandi maakond, Viljandi linn;Viljandi county, Viljandi city;???????????? ????, ????? ????????;;;;;;;;;;;;;;;;
0899;0084;2;Viljandi vald;Viljandi rural municipality;??????? ????????;;;;Viljandi maakond, Viljandi vald;Viljandi county, Viljandi rural municipality;???????????? ????, ??????? ????????;;;;;;;;;;;;;;;;
0901;0060;2;Vinni vald;Vinni rural municipality;??????? ?????;;;;Lääne-Viru maakond, Vinni vald;Lääne-Viru county, Vinni rural municipality;?????-???????? ????, ??????? ?????;;;;;;;;;;;;;;;;
0903;0060;2;Viru-Nigula vald;Viru-Nigula rural municipality;??????? ????-??????;;;;Lääne-Viru maakond, Viru-Nigula vald;Lääne-Viru county, Viru-Nigula rural municipality;?????-???????? ????, ??????? ????-??????;;;;;;;;;;;;;;;;
0907;0056;2;Vormsi vald;Vormsi rural municipality;??????? ??????;;;;Lääne maakond, Vormsi vald;Lääne county, Vormsi rural municipality;????????? ????, ??????? ??????;;;;;;;;;;;;;;;;
0917;0087;2;Võru vald;Võru rural municipality;??????? ????;;;;Võru maakond, Võru vald;Võru county, Võru rural municipality;???????? ????, ??????? ????;;;;;;;;;;;;;;;;
0919;0087;2;Võru linn;Võru city;????? ????;;;;Võru maakond, Võru linn;Võru county, Võru city;???????? ????, ????? ????;;;;;;;;;;;;;;;;
0928;0060;2;Väike-Maarja vald;Väike-Maarja rural municipality;??????? ?????-??????;;;;Lääne-Viru maakond, Väike-Maarja vald;Lääne-Viru county, Väike-Maarja rural municipality;?????-???????? ????, ??????? ?????-??????;;;;;;;;;;;;;;;;
1004;0442;3;Aa küla;Aa village;??????? ??;;;;Ida-Viru maakond, Lüganuse vald, Aa küla;Ida-Viru county, Lüganuse rural municipality, Aa village;???-???????? ????, ??????? ????????, ??????? ??;;;;;;;;;;;;;;;;
1005;0698;3;Aabra küla;Aabra village;??????? ?????;;;;Võru maakond, Rõuge vald, Aabra küla;Võru county, Rõuge rural municipality, Aabra village;???????? ????, ??????? ?????, ??????? ?????;;;;;;;;;;;;;;;;
1007;0353;3;Kolga-Aabla küla;Kolga-Aabla village;??????? ?????-?????;;;;Harju maakond, Kuusalu vald, Kolga-Aabla küla;Harju county, Kuusalu rural municipality, Kolga-Aabla village;????????? ????, ??????? ???????, ??????? ?????-?????;;;;;;;;;;;;;;;;
1010;0291;3;Aadami küla;Aadami village;??????? ??????;;;;Tartu maakond, Kastre vald, Aadami küla;Tartu county, Kastre rural municipality, Aadami village;????????? ????, ??????? ??????, ??????? ??????;;;;;;;;;;;;;;;;
1013;0205;3;Aadma küla;Aadma village;??????? ?????;;;;Hiiu maakond, Hiiumaa vald, Aadma küla;Hiiu county, Hiiumaa rural municipality, Aadma village;???????? ????, ??????? ???????, ??????? ?????;;;;;;;;;;;;;;;;
1016;0283;3;Aakaru küla;Aakaru village;??????? ??????;;;;Tartu maakond, Kambja vald, Aakaru küla;Tartu county, Kambja rural municipality, Aakaru village;????????? ????, ??????? ??????, ??????? ??????;;;;;;;;;;;;;;;;
1017;0184;3;Aamse küla;Aamse village;??????? ?????;;;;Lääne maakond, Haapsalu linn, Aamse küla;Lääne county, Haapsalu city, Aamse village;????????? ????, ????? ????????, ??????? ?????;;;;;;;;;;;;;;;;
1018;0171;3;Aakre küla;Aakre village;??????? ?????;;;;Tartu maakond, Elva vald, Aakre küla;Tartu county, Elva rural municipality, Aakre village;????????? ????, ??????? ????, ??????? ?????;;;;;;;;;;;;;;;;
1021;0317;3;Aandu küla;Aandu village;??????? ?????;;;;Rapla maakond, Kohila vald, Aandu küla;Rapla county, Kohila rural municipality, Aandu village;????????? ????, ??????? ??????, ??????? ?????;;;;;;;;;;;;;;;;
1022;0291;3;Aardlapalu küla;Aardlapalu village;??????? ??????????;;;;Tartu maakond, Kastre vald, Aardlapalu küla;Tartu county, Kastre rural municipality, Aardlapalu village;????????? ????, ??????? ??????, ??????? ??????????;;;;;;;;;;;;;;;;
1024;0291;3;Aardla küla;Aardla village;??????? ??????;;;;Tartu maakond, Kastre vald, Aardla küla;Tartu county, Kastre rural municipality, Aardla village;????????? ????, ??????? ??????, ??????? ??????;;;;;;;;;;;;;;;;
1025;0901;3;Aarla küla;Aarla village;??????? ?????;;;;Lääne-Viru maakond, Vinni vald, Aarla küla;Lääne-Viru county, Vinni rural municipality, Aarla village;?????-???????? ????, ??????? ?????, ??????? ?????;;;;;;;;;;;;;;;;
1027;0622;3;Aarna küla;Aarna village;??????? ?????;;;;Põlva maakond, Põlva vald, Aarna küla;Põlva county, Põlva rural municipality, Aarna village;????????? ????, ??????? ?????, ??????? ?????;;;;;;;;;;;;;;;;
1030;0638;3;Aasa küla;Aasa village;??????? ????;;;;Pärnu maakond, Põhja-Pärnumaa vald, Aasa küla;Pärnu county, Põhja-Pärnumaa rural municipality, Aasa village;????????? ????, ??????? ?????-????????, ??????? ????;;;;;;;;;;;;;;;;
1032;0191;3;Aaspere küla;Aaspere village;??????? ???????;;;;Lääne-Viru maakond, Haljala vald, Aaspere küla;Lääne-Viru county, Haljala rural municipality, Aaspere village;?????-???????? ????, ??????? ???????, ??????? ???????;;;;;;;;;;;;;;;;
1035;0191;3;Aasu küla;Aasu village;??????? ????;;;;Lääne-Viru maakond, Haljala vald, Aasu küla;Lääne-Viru county, Haljala rural municipality, Aasu village;?????-???????? ????, ??????? ???????, ??????? ????;;;;;;;;;;;;;;;;
1037;0903;3;Aasukalda küla;Aasukalda village;??????? ?????????;;;;Lääne-Viru maakond, Viru-Nigula vald, Aasukalda küla;Lääne-Viru county, Viru-Nigula rural municipality, Aasukalda village;?????-???????? ????, ??????? ????-??????, ??????? ?????????;;;;;;;;;;;;;;;;
1040;0191;3;Aasumetsa küla;Aasumetsa village;??????? ?????????;;;;Lääne-Viru maakond, Haljala vald, Aasumetsa küla;Lääne-Viru county, Haljala rural municipality, Aasumetsa village;?????-???????? ????, ??????? ???????, ??????? ?????????;;;;;;;;;;;;;;;;
1041;0834;3;Aasuvälja küla;Aasuvälja village;??????? ?????????;;;;Järva maakond, Türi vald, Aasuvälja küla;Järva county, Türi rural municipality, Aasuvälja village;???????? ????, ??????? ????, ??????? ?????????;;;;;;;;;;;;;;;;
1043;0901;3;Aasuvälja küla;Aasuvälja village;??????? ?????????;;;;Lääne-Viru maakond, Vinni vald, Aasuvälja küla;Lääne-Viru county, Vinni rural municipality, Aasuvälja village;?????-???????? ????, ??????? ?????, ??????? ?????????;;;;;;;;;;;;;;;;
1046;0141;3;Aavere küla;Aavere village;??????? ??????;;;;Harju maakond, Anija vald, Aavere küla;Harju county, Anija rural municipality, Aavere village;????????? ????, ??????? ????, ??????? ??????;;;;;;;;;;;;;;;;
1047;0928;3;Aavere küla;Aavere village;??????? ??????;;;;Lääne-Viru maakond, Väike-Maarja vald, Aavere küla;Lääne-Viru county, Väike-Maarja rural municipality, Aavere village;?????-???????? ????, ??????? ?????-??????, ??????? ??????;;;;;;;;;;;;;;;;
1048;0792;3;Aavere küla;Aavere village;??????? ??????;;;;Lääne-Viru maakond, Tapa vald, Aavere küla;Lääne-Viru county, Tapa rural municipality, Aavere village;?????-???????? ????, ??????? ????, ??????? ??????;;;;;;;;;;;;;;;;
1050;0653;3;Aaviku küla;Aaviku village;??????? ??????;;;;Harju maakond, Rae vald, Aaviku küla;Harju county, Rae rural municipality, Aaviku village;????????? ????, ??????? ???, ??????? ??????;;;;;;;;;;;;;;;;
