Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
B01;käte viimine keskjoonele;käte viimine keskjoonele;käte viimine keskjoonele;;;1.01.2008;;;Eesti E-tervise SA;1;
B02;viib ühe käe keskjoonele;viib ühe käe keskjoonele;viib ühe käe keskjoonele;;;1.01.2008;;;Eesti E-tervise SA;1;
B03;ei vii käsi keskjoonele;ei vii käsi keskjoonele;ei vii käsi keskjoonele;;;1.01.2008;;;Eesti E-tervise SA;1;
B04;haarab mänguasju igast suunast, paneb need ühest käest teisse;haarab mänguasju igast suunast, paneb need ühest käest teisse;haarab mänguasju igast suunast, paneb need ühest käest teisse;;;1.01.2008;;;Eesti E-tervise SA;1;
B05;haarab mänguasju, mis on asetatud tema ette;haarab mänguasju, mis on asetatud tema ette;haarab mänguasju, mis on asetatud tema ette;;;1.01.2008;;;Eesti E-tervise SA;1;
B06;ei haara/võta mänguasju;ei haara/võta mänguasju;ei haara/võta mänguasju;;;1.01.2008;;;Eesti E-tervise SA;1;
B07;võtab väikesi asju kahe sõrmega;võtab väikesi asju kahe sõrmega;võtab väikesi asju kahe sõrmega;;;1.01.2008;;;Eesti E-tervise SA;1;
B08;võtab mänguasju terve käega;võtab mänguasju terve käega;võtab mänguasju terve käega;;;1.01.2008;;;Eesti E-tervise SA;1;
B09;asetab ühe asja teise sisse, avab karpi;asetab ühe asja teise sisse, avab karpi;asetab ühe asja teise sisse, avab karpi;;;1.01.2008;;;Eesti E-tervise SA;1;
B10;ei mängi asjadega sihipäraselt;ei mängi asjadega sihipäraselt;ei mängi asjadega sihipäraselt;;;1.01.2008;;;Eesti E-tervise SA;1;
B11;käeline tegevus väga kohmakas või puudub;käeline tegevus väga kohmakas või puudub;käeline tegevus väga kohmakas või puudub;;;1.01.2008;;;Eesti E-tervise SA;1;
B12;ehitab torni vähemalt kolmest klotsist ja pöörab raamatulehti 2-3 kaupa;ehitab torni vähemalt kolmest klotsist ja pöörab raamatulehti 2-3 kaupa;ehitab torni vähemalt kolmest klotsist ja pöörab raamatulehti 2-3 kaupa;;;1.01.2008;;;Eesti E-tervise SA;1;
B13;paneb klotse üksteise peale korrapäraselt (puudub planeeritav tegevus);paneb klotse üksteise peale korrapäraselt (puudub planeeritav tegevus);paneb klotse üksteise peale korrapäraselt (puudub planeeritav tegevus);;;1.01.2008;;;Eesti E-tervise SA;1;
B14;võtab klotse kätte, kuid ei mängi sihipäraselt või ei võta mänguasju;võtab klotse kätte, kuid ei mängi sihipäraselt või ei võta mänguasju;võtab klotse kätte, kuid ei mängi sihipäraselt või ei võta mänguasju;;;1.01.2008;;;Eesti E-tervise SA;1;
B15;viskab palli kahe käe ja kogu kehaga, tõukab palli jalaga ja jääb püsti (mõlema jalaga);viskab palli kahe käe ja kogu kehaga, tõukab palli jalaga ja jääb püsti (mõlema jalaga);viskab palli kahe käe ja kogu kehaga, tõukab palli jalaga ja jääb püsti (mõlema jalaga);;;1.01.2008;;;Eesti E-tervise SA;1;
B16;sooritab ühe tegevuse neist: viskab palli kahe käe ja kogu kehaga, tõukab palli jalaga ja jääb püsti (mõlema jalaga);sooritab ühe tegevuse neist: viskab palli kahe käe ja kogu kehaga, tõukab palli jalaga ja jääb püsti (mõlema jalaga);sooritab ühe tegevuse neist: viskab palli kahe käe ja kogu kehaga, tõukab palli jalaga ja jääb püsti (mõlema jalaga);;;1.01.2008;;;Eesti E-tervise SA;1;
B17;ei soorita neid tegevusi: viskab palli kahe käe ja kogu kehaga, tõukab palli jalaga ja jääb püsti (mõlema jalaga);ei soorita neid tegevusi: viskab palli kahe käe ja kogu kehaga, tõukab palli jalaga ja jääb püsti (mõlema jalaga);ei soorita neid tegevusi: viskab palli kahe käe ja kogu kehaga, tõukab palli jalaga ja jääb püsti (mõlema jalaga);;;1.01.2008;;;Eesti E-tervise SA;1;
B18;pöörab ramatulehti üksikult;pöörab ramatulehti üksikult;pöörab ramatulehti üksikult;;;1.01.2008;;;Eesti E-tervise SA;1;
B19;pöörab ramatulehti mitmekaupa;pöörab ramatulehti mitmekaupa;pöörab ramatulehti mitmekaupa;;;1.01.2008;;;Eesti E-tervise SA;1;
B20;ei pööra raamatulehti;ei pööra raamatulehti;ei pööra raamatulehti;;;1.01.2008;;;Eesti E-tervise SA;1;
B21;paneb üksteise otsa kuni 9 klotsi;paneb üksteise otsa kuni 9 klotsi;paneb üksteise otsa kuni 9 klotsi;;;1.01.2008;;;Eesti E-tervise SA;1;
B22;paneb üksteis otsa 2 klotsi;paneb üksteis otsa 2 klotsi;paneb üksteis otsa 2 klotsi;;;1.01.2008;;;Eesti E-tervise SA;1;
B23;ei pane üksteise otsa ühtegi klotsi;ei pane üksteise otsa ühtegi klotsi;ei pane üksteise otsa ühtegi klotsi;;;1.01.2008;;;Eesti E-tervise SA;1;
B24;lõikab kääridega;lõikab kääridega;lõikab kääridega;;;1.01.2008;;;Eesti E-tervise SA;1;
B25;lõikab kääridega vaevaliselt;lõikab kääridega vaevaliselt;lõikab kääridega vaevaliselt;;;1.01.2008;;;Eesti E-tervise SA;1;
B26;ei lõika kääridega;ei lõika kääridega;ei lõika kääridega;;;1.01.2008;;;Eesti E-tervise SA;1;
