Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
1;haiglas;haiglas;haiglas;;0;31.05.2007;;;;1;
2;teel haiglasse;teel haiglasse;teel haiglasse;;0;31.05.2007;;;;1;
3;väljaspool haiglat ;väljaspool haiglat ;väljaspool haiglat ;;0;31.05.2007;;;;1;
31;planeeritult;planeeritult;planeeritult;3;1;31.05.2007;;;;1;(sünniregistri indikaator kodusünnituste osakaalu hindamisel)
32;planeerimatult;planeerimatult;planeerimatult;3;1;31.05.2007;;;;1;(sünniregistri indikaator kodusünnituste osakaalu hindamisel)
4;andmed puuduvad;andmed puuduvad;andmed puuduvad;;0;31.05.2007;;;;1;
