Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus
1;;paranenud;;;0;31.05.2007;;;1;
2;;muutuseta;;;0;31.05.2007;;;1;
3;;halvenenud;;;0;31.05.2007;;;1;
4;;surnud;;;0;09.04.2018;;;1;
