Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
A;pea;pea;pea;;0;1.01.2012;;;EKL,TA;1;
A1;otsmik;otsmik;otsmik;A;1;1.01.2012;;;EKL,TA;1;
A2;kukal;kukal;kukal;A;1;1.01.2012;;;EKL,TA;1;
A3;oimupiirkond;oimupiirkond;oimupiirkond;A;1;1.01.2012;;;EKL,TA;1;
A4;nina;nina;nina;A;1;1.01.2012;;;EKL,TA;1;
A5;lõualuud;lõualuud;lõualuud;A;1;1.01.2012;;;EKL,TA;1;
A6;parem kõrv;parem kõrv;parem kõrv;A;1;1.01.2012;;;EKL,TA;1;
A7;vasak kõrv;vasak kõrv;vasak kõrv;A;1;1.01.2012;;;EKL,TA;1;
A8;parem silm;parem silm;parem silm;A;1;1.01.2012;;;EKL,TA;1;
A9;vasak silm;vasak silm;vasak silm;A;1;1.01.2012;;;EKL,TA;1;
A10;suu ;suu ;suu ;A;1;1.01.2012;;;EKL,TA;1;
A11;hambad;hambad;hambad;A;1;1.01.2012;;;EKL,TA;1;
A12;koljupõhimik;koljupõhimik;koljupõhimik;A;1;1.01.2012;;;EKL,TA;1;
A13;aju ;aju ;aju ;A;1;1.01.2012;;;EKL,TA;1;
A14;muu;muu;muu;A;1;1.01.2012;;;EKL,TA;1;
B;kael;kael;kael;;0;1.01.2012;;;EKL,TA;1;
B1;eespind;eespind;eespind;B;1;1.01.2012;;;EKL,TA;1;
B2;tagapind;tagapind;tagapind;B;1;1.01.2012;;;EKL,TA;1;
B3;parem külg;parem külg;parem külg;B;1;1.01.2012;;;EKL,TA;1;
B4;vasak külg;vasak külg;vasak külg;B;1;1.01.2012;;;EKL,TA;1;
B5;trahhea;trahhea;trahhea;B;1;1.01.2012;;;EKL,TA;1;
B6;lülisammas;lülisammas;lülisammas;B;1;1.01.2012;;;EKL,TA;1;
C;rindkere;rindkere;rindkere;;0;1.01.2012;;;EKL,TA;1;
C1;parem pool;parem pool;parem pool;C;1;1.01.2012;;;EKL,TA;1;
C2;vasak pool;vasak pool;vasak pool;C;1;1.01.2012;;;EKL,TA;1;
C3;parem rind;parem rind;parem rind;C;1;1.01.2012;;;EKL,TA;1;
C4;vasak rind;vasak rind;vasak rind;C;1;1.01.2012;;;EKL,TA;1;
C5;rinnak;rinnak;rinnak;C;1;1.01.2012;;;EKL,TA;1;
C6;roided paremal;roided paremal;roided paremal;C;1;1.01.2012;;;EKL,TA;1;
C7;roided vasakul;roided vasakul;roided vasakul;C;1;1.01.2012;;;EKL,TA;1;
C8;parem rangluu;parem rangluu;parem rangluu;C;1;1.01.2012;;;EKL,TA;1;
C9;vasak rangluu;vasak rangluu;vasak rangluu;C;1;1.01.2012;;;EKL,TA;1;
C10;parem kops;parem kops;parem kops;C;1;1.01.2012;;;EKL,TA;1;
C11;vasak kops;vasak kops;vasak kops;C;1;1.01.2012;;;EKL,TA;1;
C12;süda;süda;süda;C;1;1.01.2012;;;EKL,TA;1;
C13;muu;muu;muu;C;1;1.01.2012;;;EKL,TA;1;
D;kõht;kõht;kõht;;0;1.01.2012;;;EKL,TA;1;
