Kood	Lühinimetus	Nimetus	Pikk_nimetus	Vanem_kood	Hierarhia_aste	Kehtivuse_alguse_kpv	Kehtivuse_lõpu_kpv	Viimane_muudatus_kpv	Muutja	Staatus	Selgitus
A	tunnistajad	tunnistajate juuresolekul	tekkis tunnistajate juuresolekul		0	1.01.2012			EKL,TA	1	
B	kiirabibrigaadi juuresolekul	kiirabibrigaadi juuresolekul	tekkis kiirabibrigaadi juuresolekul		0	1.01.2012			EKL,TA	1	
C	tunnistajateta	leiti surnuna	tunnistajateta (leitud surnuna)		0	1.01.2012			EKL,TA	1	
