Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
A;orienteeritud / lalin, vadin (5p);orienteeritud / lalin, vadin (5p);orienteeritud / lalin, vadin (5p);;0;1.01.2012;;;EKL,TA;1;
B;segane / ärritusnutt (4p);segane / ärritusnutt (4p);segane / ärritusnutt (4p);;0;1.01.2012;;;EKL,TA;1;
C;ebaadekvaatsed sõnad / valule nutab (3p);ebaadekvaatsed sõnad / valule nutab (3p);ebaadekvaatsed sõnad / valule nutab (3p);;0;1.01.2012;;;EKL,TA;1;
D;arusaamatu hääl / valule oigab (2p);arusaamatu hääl / valule oigab (2p);arusaamatu hääl / valule oigab (2p);;0;1.01.2012;;;EKL,TA;1;
E;puudub (1p);puudub (1p);puudub (1p);;0;1.01.2012;;;EKL,TA;1;
