Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
A;aksillaarselt;aksillaarselt;aksillaarselt;;0;1.01.2012;;;EKL,TA;1;
B;naha pinnalt;naha pinnalt;naha pinnalt;;0;1.01.2012;;;EKL,TA;1;
C;kõrvast;kõrvast;kõrvast;;0;1.01.2012;;;EKL,TA;1;
D;suust;suust;suust;;0;1.01.2012;;;EKL,TA;1;
E;rektaalselt;rektaalselt;rektaalselt;;0;1.01.2012;;;EKL,TA;1;
F;söögitorust;söögitorust;söögitorust;;0;1.01.2012;;;EKL,TA;1;
G;mujalt;mujalt;mujalt;;0;1.01.2012;;;EKL,TA;1;
