Vanus (kuudes);Norm;Sugu;Graafik (vanus);Graafik (tyyp);Tsentiil
72;111;T;üle 2a;pikkus;10
78;114;T;üle 2a;pikkus;10
84;117;T;üle 2a;pikkus;10
90;119,5;T;üle 2a;pikkus;10
96;122;T;üle 2a;pikkus;10
102;124;T;üle 2a;pikkus;10
108;127;T;üle 2a;pikkus;10
114;129;T;üle 2a;pikkus;10
120;131,5;T;üle 2a;pikkus;10
126;134;T;üle 2a;pikkus;10
132;137;T;üle 2a;pikkus;10
138;140;T;üle 2a;pikkus;10
144;143;T;üle 2a;pikkus;10
150;146;T;üle 2a;pikkus;10
156;149;T;üle 2a;pikkus;10
162;152;T;üle 2a;pikkus;10
168;154;T;üle 2a;pikkus;10
174;155,6;T;üle 2a;pikkus;10
180;157;T;üle 2a;pikkus;10
186;158;T;üle 2a;pikkus;10
192;159;T;üle 2a;pikkus;10
198;160;T;üle 2a;pikkus;10
204;160,5;T;üle 2a;pikkus;10
210;161;T;üle 2a;pikkus;10
216;162;T;üle 2a;pikkus;10
24;86;T;üle 2a;pikkus;25
30;89,5;T;üle 2a;pikkus;25
36;93;T;üle 2a;pikkus;25
42;97;T;üle 2a;pikkus;25
48;100,5;T;üle 2a;pikkus;25
54;104;T;üle 2a;pikkus;25
60;107;T;üle 2a;pikkus;25
66;111;T;üle 2a;pikkus;25
72;114;T;üle 2a;pikkus;25
78;117;T;üle 2a;pikkus;25
84;120;T;üle 2a;pikkus;25
90;123;T;üle 2a;pikkus;25
96;125,3;T;üle 2a;pikkus;25
102;128;T;üle 2a;pikkus;25
108;130,3;T;üle 2a;pikkus;25
114;133;T;üle 2a;pikkus;25
120;136;T;üle 2a;pikkus;25
126;138,5;T;üle 2a;pikkus;25
132;141,5;T;üle 2a;pikkus;25
138;145;T;üle 2a;pikkus;25
144;148;T;üle 2a;pikkus;25
150;151;T;üle 2a;pikkus;25
156;154;T;üle 2a;pikkus;25
162;156;T;üle 2a;pikkus;25
168;158;T;üle 2a;pikkus;25
174;160;T;üle 2a;pikkus;25
180;161;T;üle 2a;pikkus;25
186;162;T;üle 2a;pikkus;25
192;163;T;üle 2a;pikkus;25
198;163,5;T;üle 2a;pikkus;25
204;164;T;üle 2a;pikkus;25
210;164,5;T;üle 2a;pikkus;25
216;165;T;üle 2a;pikkus;25
24;88;T;üle 2a;pikkus;50
30;92;T;üle 2a;pikkus;50
36;96;T;üle 2a;pikkus;50
42;100;T;üle 2a;pikkus;50
48;103,8;T;üle 2a;pikkus;50
54;107,5;T;üle 2a;pikkus;50
60;111;T;üle 2a;pikkus;50
66;114;T;üle 2a;pikkus;50
72;117,5;T;üle 2a;pikkus;50
78;120,8;T;üle 2a;pikkus;50
84;123,5;T;üle 2a;pikkus;50
90;126;T;üle 2a;pikkus;50
96;129;T;üle 2a;pikkus;50
102;132;T;üle 2a;pikkus;50
108;134,3;T;üle 2a;pikkus;50
114;137;T;üle 2a;pikkus;50
120;140;T;üle 2a;pikkus;50
126;143;T;üle 2a;pikkus;50
132;146;T;üle 2a;pikkus;50
138;149,8;T;üle 2a;pikkus;50
144;153;T;üle 2a;pikkus;50
150;156;T;üle 2a;pikkus;50
156;158,5;T;üle 2a;pikkus;50
162;161;T;üle 2a;pikkus;50
168;162,5;T;üle 2a;pikkus;50
174;164;T;üle 2a;pikkus;50
180;165,4;T;üle 2a;pikkus;50
186;166;T;üle 2a;pikkus;50
192;166,4;T;üle 2a;pikkus;50
198;167;T;üle 2a;pikkus;50
204;167,5;T;üle 2a;pikkus;50
210;168;T;üle 2a;pikkus;50
216;168,4;T;üle 2a;pikkus;50
24;90;T;üle 2a;pikkus;75
30;94;T;üle 2a;pikkus;75
36;98;T;üle 2a;pikkus;75
42;102;T;üle 2a;pikkus;75
48;106;T;üle 2a;pikkus;75
54;110;T;üle 2a;pikkus;75
60;114;T;üle 2a;pikkus;75
66;117,4;T;üle 2a;pikkus;75
72;120,5;T;üle 2a;pikkus;75
78;124;T;üle 2a;pikkus;75
84;126,8;T;üle 2a;pikkus;75
90;130;T;üle 2a;pikkus;75
96;132,5;T;üle 2a;pikkus;75
102;135,5;T;üle 2a;pikkus;75
108;138,5;T;üle 2a;pikkus;75
114;141,5;T;üle 2a;pikkus;75
120;144;T;üle 2a;pikkus;75
126;148;T;üle 2a;pikkus;75
132;151;T;üle 2a;pikkus;75
138;154;T;üle 2a;pikkus;75
144;158;T;üle 2a;pikkus;75
150;161;T;üle 2a;pikkus;75
156;163,5;T;üle 2a;pikkus;75
162;165,8;T;üle 2a;pikkus;75
168;167,4;T;üle 2a;pikkus;75
174;168,4;T;üle 2a;pikkus;75
180;169,7;T;üle 2a;pikkus;75
186;170;T;üle 2a;pikkus;75
192;170,5;T;üle 2a;pikkus;75
198;171;T;üle 2a;pikkus;75
204;171,5;T;üle 2a;pikkus;75
210;172;T;üle 2a;pikkus;75
216;172,1;T;üle 2a;pikkus;75
24;92;T;üle 2a;pikkus;90
30;96;T;üle 2a;pikkus;90
36;100;T;üle 2a;pikkus;90
42;105;T;üle 2a;pikkus;90
48;109;T;üle 2a;pikkus;90
54;113;T;üle 2a;pikkus;90
60;116,5;T;üle 2a;pikkus;90
66;120;T;üle 2a;pikkus;90
72;124;T;üle 2a;pikkus;90
78;127;T;üle 2a;pikkus;90
84;130;T;üle 2a;pikkus;90
90;133;T;üle 2a;pikkus;90
96;136;T;üle 2a;pikkus;90
102;139;T;üle 2a;pikkus;90
108;142;T;üle 2a;pikkus;90
114;145;T;üle 2a;pikkus;90
120;148,5;T;üle 2a;pikkus;90
126;152;T;üle 2a;pikkus;90
132;155;T;üle 2a;pikkus;90
138;158,5;T;üle 2a;pikkus;90
144;162;T;üle 2a;pikkus;90
150;165;T;üle 2a;pikkus;90
156;167;T;üle 2a;pikkus;90
162;169;T;üle 2a;pikkus;90
168;170,5;T;üle 2a;pikkus;90
174;172;T;üle 2a;pikkus;90
180;173;T;üle 2a;pikkus;90
186;174;T;üle 2a;pikkus;90
192;174,5;T;üle 2a;pikkus;90
198;175;T;üle 2a;pikkus;90
204;175,5;T;üle 2a;pikkus;90
210;175,8;T;üle 2a;pikkus;90
216;176;T;üle 2a;pikkus;90
24;94;T;üle 2a;pikkus;97
30;98;T;üle 2a;pikkus;97
36;103;T;üle 2a;pikkus;97
42;108;T;üle 2a;pikkus;97
48;112;T;üle 2a;pikkus;97
54;116;T;üle 2a;pikkus;97
60;120,5;T;üle 2a;pikkus;97
66;124;T;üle 2a;pikkus;97
72;127;T;üle 2a;pikkus;97
78;130,5;T;üle 2a;pikkus;97
84;133;T;üle 2a;pikkus;97
90;137;T;üle 2a;pikkus;97
96;140;T;üle 2a;pikkus;97
102;143,5;T;üle 2a;pikkus;97
108;146,5;T;üle 2a;pikkus;97
114;150,5;T;üle 2a;pikkus;97
120;154;T;üle 2a;pikkus;97
126;157;T;üle 2a;pikkus;97
132;160,4;T;üle 2a;pikkus;97
138;164;T;üle 2a;pikkus;97
144;166;T;üle 2a;pikkus;97
150;168,5;T;üle 2a;pikkus;97
156;171;T;üle 2a;pikkus;97
162;172,5;T;üle 2a;pikkus;97
168;174;T;üle 2a;pikkus;97
174;175,3;T;üle 2a;pikkus;97
180;176,2;T;üle 2a;pikkus;97
186;177;T;üle 2a;pikkus;97
192;178;T;üle 2a;pikkus;97
198;178,5;T;üle 2a;pikkus;97
204;179;T;üle 2a;pikkus;97
210;179,5;T;üle 2a;pikkus;97
216;180;T;üle 2a;pikkus;97
