KOOD;LÜHINIMETUS;NIMETUS;PIKK_NIMETUS;VANEM_KOOD;HIERARHIA_ASTE;KEHTIVUSE_ALGUSE_KPV;KEHTIVUSE_LÕPU_KPV;VIIMANE_MUUDATUS_KPV;MUUTJA;STAATUS;SELGITUS
jah;teovõimeline;teovõimeline;teovõimeline;;;1.01.2007;;;rahvastikuregister;1;
ei;piiratud teovõimega;piiratud teovõimega;piiratud teovõimega;;;1.01.2007;;;rahvastikuregister;1;
