Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
1;kiirabiga;kiirabiga;kiirabiga;;;31.05.2007;;;Sotsiaalministeerium;1;
2;tuli ise;tuli ise;tuli ise;;;31.05.2007;;;Sotsiaalministeerium;1;
3;saatekirjaga;tuli saatekirjaga;tuli saatekirjaga;;;31.05.2007;;;Sotsiaalministeerium;1;
4;politseiga ja võrdsustatud asutuse poolt;politseiga ja võrdsustatud asutuse poolt;politseiga ja võrdsustatud asutuse poolt;;;31.05.2007;;;Sotsiaalministeerium;1;
9;muul viisil;muul viisil;muul viisil;;;31.05.2007;;;Sotsiaalministeerium;1;
